Tipo_vivienda;Superficie construida;Habitaciones;Baños;Planta;Conservación;Precio;PMZona;PMm²Zona;RMP;RMH
Piso;121.0;3;2;1.0;En buen estado;2100.0;4039.88;19.27;27167.0;86403.0
Piso;225.0;4;3;1.0;En buen estado;2500.0;4039.88;19.27;27167.0;86403.0
Casa;600.0;6;7;0.0;En buen estado;4000.0;2561.81;12.41;21254.0;65428.0
Piso;89.0;2;2;0.0;Reformado;1600.0;1950.7;21.77;17026.0;39991.0
Piso;85.0;2;2;8.0;En buen estado;1790.0;2545.3;20.32;24659.0;63205.0
Piso;93.0;3;2;6.0;En buen estado;2500.0;3886.67;27.61;25956.0;60217.0
Piso;87.0;2;2;8.0;En buen estado;1790.0;2545.3;20.32;24659.0;63205.0
Piso;124.0;3;2;5.0;Reformado;1290.0;1043.64;13.12;12566.0;34529.0
Piso;100.0;3;2;1.0;En buen estado;1400.0;2453.57;10.8;19257.0;58788.0
Apartamento;40.0;1;1;4.0;En buen estado;1100.0;3441.98;25.93;25275.0;56281.0
Casa adosada;224.0;3;3;0.0;En buen estado;2000.0;2453.57;10.8;19257.0;58788.0
Apartamento;70.0;2;2;2.0;En buen estado;2200.0;2545.3;20.32;24659.0;63205.0
Piso;70.0;2;1;1.0;En buen estado;1750.0;3441.98;25.93;25275.0;56281.0
Chalet;174.0;4;3;0.0;A estrenar;1250.0;1250.0;7.18;14379.0;36547.0
Apartamento;40.0;1;1;-0.5;Reformado;800.0;1677.38;22.02;20103.0;46699.0
Dúplex;377.0;7;5;2.0;Reformado;4000.0;3328.25;14.16;21248.0;66390.0
Piso;45.0;1;1;3.0;En buen estado;1500.0;2787.63;26.98;19199.0;38360.0
Piso;60.0;1;1;2.0;En buen estado;1350.0;3396.94;22.37;28233.0;69670.0
Piso;230.0;4;3;7.0;Reformado;4175.0;3886.67;27.61;25956.0;60217.0
Ático;275.0;5;5;3.0;En buen estado;5800.0;2528.57;16.28;19394.0;57962.0
Piso;120.0;3;2;3.0;A estrenar;2200.0;2528.57;16.28;19394.0;57962.0
Ático;89.0;2;1;2.0;En buen estado;1700.0;2545.3;20.32;24659.0;63205.0
Ático;176.0;3;3;2.0;Reformado;4850.0;3441.98;25.93;25275.0;56281.0
Piso;65.0;1;1;2.0;En buen estado;1300.0;2545.3;20.32;24659.0;63205.0
Ático;170.0;4;3;6.0;Reformado;5500.0;3441.98;25.93;25275.0;56281.0
Piso;175.0;3;2;2.0;Reformado;1850.0;2890.45;16.94;20500.0;54316.0
Piso;199.0;3;2;11.0;Reformado;3300.0;3396.94;22.37;28233.0;69670.0
Piso;104.0;3;2;2.0;En buen estado;2400.0;2506.52;22.52;23925.0;57448.0
Piso;182.0;4;3;0.0;En buen estado;2700.0;3328.25;14.16;21248.0;66390.0
Piso;122.0;2;1;2.0;En buen estado;2400.0;2787.63;26.98;19199.0;38360.0
Piso;43.0;1;1;3.0;En buen estado;1150.0;3441.98;25.93;25275.0;56281.0
Piso;45.0;1;1;2.0;En buen estado;1000.0;1950.7;21.77;17026.0;39991.0
Piso;45.0;1;1;2.0;A estrenar;862.0;983.32;16.24;11059.0;30673.0
Piso;165.0;3;2;3.0;A estrenar;1400.0;1125.0;11.35;13080.0;36502.0
Piso;114.0;3;2;2.0;En buen estado;1400.0;1366.67;14.13;19482.0;51400.0
Apartamento;55.0;1;1;0.0;En buen estado;700.0;1125.0;11.35;13080.0;36502.0
Chalet;90.0;1;1;0.0;En buen estado;1300.0;1300.0;16.78;14500.0;44410.0
Piso;40.0;1;1;1.0;En buen estado;895.0;1677.38;22.02;20103.0;46699.0
Piso;50.0;2;1;1.0;En buen estado;800.0;1156.2;17.03;13719.0;33790.0
Piso;141.0;4;2;2.0;En buen estado;1300.0;1916.11;16.14;16890.0;41311.0
Piso;120.0;3;2;8.0;En buen estado;1400.0;1621.88;11.7;20477.0;59299.0
Piso;440.0;5;4;2.0;En buen estado;3850.0;2890.45;16.94;20500.0;54316.0
Piso;342.0;4;4;2.0;Reformado;3500.0;2535.85;14.31;20671.0;55125.0
Piso;206.0;3;3;4.0;En buen estado;2400.0;4039.88;19.27;27167.0;86403.0
Ático;132.0;2;2;3.0;Reformado;3500.0;4462.56;19.35;19394.0;57962.0
Ático;210.0;3;3;0.0;Reformado;3000.0;4462.56;19.35;19394.0;57962.0
Apartamento;43.0;1;1;4.0;En buen estado;1150.0;2787.63;26.98;19199.0;38360.0
Piso;157.0;4;2;2.0;En buen estado;2800.0;3886.67;27.61;25956.0;60217.0
Piso;156.0;3;3;2.0;En buen estado;6000.0;3886.67;27.61;25956.0;60217.0
Piso;204.0;4;3;7.0;Reformado;3950.0;3886.67;27.61;25956.0;60217.0
Piso;52.0;2;1;2.0;En buen estado;1224.0;2545.3;20.32;24659.0;63205.0
Estudio;40.0;1;1;0.0;Reformado;950.0;1024.26;16.55;10941.0;28681.0
Piso;305.0;4;4;5.0;En buen estado;6500.0;3441.98;25.93;25275.0;56281.0
Piso;138.0;3;2;3.0;En buen estado;1700.0;2535.85;14.31;20671.0;55125.0
Apartamento;40.0;1;1;3.0;Reformado;980.0;2787.63;26.98;19199.0;38360.0
Piso;55.0;1;1;2.0;Reformado;820.0;1916.11;16.14;16890.0;41311.0
Piso;79.0;2;1;5.0;En buen estado;1500.0;1950.7;21.77;17026.0;39991.0
Ático;220.0;4;4;3.0;A estrenar;4550.0;4462.56;19.35;19394.0;57962.0
Piso;150.0;4;2;1.0;En buen estado;2490.0;3886.67;27.61;25956.0;60217.0
Piso;110.0;2;2;4.0;En buen estado;3900.0;3886.67;27.61;25956.0;60217.0
Piso;350.0;4;3;3.0;A estrenar;5850.0;3396.94;22.37;28233.0;69670.0
Piso;69.0;2;1;0.0;En buen estado;1100.0;3490.0;11.43;16370.999999999998;45647.0
Piso;56.0;1;1;0.0;En buen estado;1600.0;2506.52;22.52;23925.0;57448.0
Piso;50.0;1;1;4.0;En buen estado;950.0;974.29;14.69;13993.0;36837.0
Piso;64.0;1;1;7.0;Reformado;1550.0;2506.52;22.52;23925.0;57448.0
Chalet adosado;372.0;3;3;0.0;En buen estado;2700.0;2535.85;14.31;20671.0;55125.0
Piso;123.0;3;2;2.0;A estrenar;2200.0;2506.52;22.52;23925.0;57448.0
Ático;93.0;2;2;9.0;En buen estado;3200.0;3886.67;27.61;25956.0;60217.0
Piso;90.0;2;2;5.0;En buen estado;1400.0;2535.85;14.31;20671.0;55125.0
Piso;275.0;4;4;2.0;En buen estado;3500.0;2545.3;20.32;24659.0;63205.0
Dúplex;120.0;3;3;5.0;En buen estado;2400.0;2787.63;26.98;19199.0;38360.0
Piso;127.0;3;2;3.0;A estrenar;3000.0;2506.52;22.52;23925.0;57448.0
Piso;123.0;3;2;1.0;A estrenar;2700.0;1285.7;14.05;13849.0;37141.0
Piso;79.0;1;1;2.0;En buen estado;1950.0;1950.7;21.77;17026.0;39991.0
Piso;240.0;4;4;2.0;En buen estado;4000.0;4462.56;19.35;19394.0;57962.0
Casa adosada;345.0;4;3;0.0;En buen estado;3700.0;2890.45;16.94;20500.0;54316.0
Piso;110.0;2;2;3.0;En buen estado;950.0;1900.0;8.74;15887.0;44955.0
Piso;112.0;2;2;1.0;En buen estado;2800.0;3886.67;27.61;25956.0;60217.0
Apartamento;65.0;1;1;2.0;En buen estado;850.0;1366.67;14.13;19482.0;51400.0
Piso;210.0;4;3;3.0;En buen estado;3000.0;3441.98;25.93;25275.0;56281.0
Piso;115.0;3;2;12.0;En buen estado;1950.0;2545.3;20.32;24659.0;63205.0
Piso;66.0;1;2;-0.5;En buen estado;2200.0;3441.98;25.93;25275.0;56281.0
Apartamento;50.0;1;1;0.0;En buen estado;950.0;3396.94;22.37;28233.0;69670.0
Piso;88.0;2;1;0.0;En buen estado;1300.0;1173.33;13.43;15667.0;38421.0
Piso;90.0;2;1;2.0;En buen estado;1700.0;1677.38;22.02;20103.0;46699.0
Piso;190.0;6;3;15.0;En buen estado;1900.0;2535.85;14.31;20671.0;55125.0
Piso;125.0;3;2;1.0;En buen estado;2000.0;1677.38;22.02;20103.0;46699.0
Piso;229.0;4;3;2.0;En buen estado;2900.0;1950.7;21.77;17026.0;39991.0
Piso;260.0;5;4;2.0;En buen estado;3500.0;1916.11;16.14;16890.0;41311.0
Piso;94.0;2;2;2.0;En buen estado;1150.0;1285.7;14.05;13849.0;37141.0
Piso;65.0;2;2;0.0;A estrenar;950.0;1003.85;15.73;14205.0;36962.0
Piso;76.0;2;1;2.0;En buen estado;1190.0;2324.29;13.05;21537.0;69688.0
Piso;76.0;2;2;5.0;En buen estado;2700.0;3886.67;27.61;25956.0;60217.0
Piso;55.0;1;1;2.0;En buen estado;925.0;1156.2;17.03;13719.0;33790.0
Piso;95.0;3;1;2.0;A estrenar;1795.0;914.06;11.78;11788.0;34016.0
Dúplex;223.0;4;4;2.0;En buen estado;3500.0;1916.11;16.14;16890.0;41311.0
Apartamento;75.0;1;1;3.0;En buen estado;1200.0;2506.52;22.52;23925.0;57448.0
Piso;62.0;1;1;2.0;A estrenar;850.0;850.0;13.4;13234.0;36256.0
Piso;115.0;2;1;2.0;En buen estado;1900.0;3441.98;25.93;25275.0;56281.0
Ático;150.0;3;2;2.0;En buen estado;2000.0;1024.26;16.55;10941.0;28681.0
Ático;67.0;2;1;5.0;A estrenar;1400.0;1278.57;16.42;15115.0;39321.0
Casa adosada;363.0;4;4;0.0;En buen estado;3950.0;2535.85;14.31;20671.0;55125.0
Piso;85.0;2;1;2.0;En buen estado;1250.0;1950.7;21.77;17026.0;39991.0
Piso;56.0;1;1;2.0;En buen estado;1975.0;2787.63;26.98;19199.0;38360.0
Ático;298.0;4;4;2.0;En buen estado;6000.0;3396.94;22.37;28233.0;69670.0
Piso;45.0;1;1;0.0;A estrenar;935.0;983.32;16.24;11059.0;30673.0
Chalet;174.0;4;3;0.0;A estrenar;1250.0;1250.0;7.18;14379.0;36547.0
Piso;109.0;2;2;2.0;En buen estado;2200.0;4039.88;19.27;27167.0;86403.0
Piso;114.0;2;2;1.0;Reformado;2800.0;4462.56;19.35;19394.0;57962.0
Apartamento;100.0;2;2;0.0;En buen estado;1650.0;4462.56;19.35;19394.0;57962.0
Piso;150.0;2;2;1.0;Reformado;2800.0;4462.56;19.35;19394.0;57962.0
Piso;75.0;2;1;2.0;En buen estado;1450.0;3886.67;27.61;25956.0;60217.0
Ático;72.0;1;1;3.0;En buen estado;1940.0;3396.94;22.37;28233.0;69670.0
Piso;160.0;2;3;3.0;A estrenar;3500.0;4462.56;19.35;19394.0;57962.0
Ático;110.0;2;2;9.0;En buen estado;3200.0;3886.67;27.61;25956.0;60217.0
Piso;204.0;4;3;7.0;Reformado;3950.0;3886.67;27.61;25956.0;60217.0
Apartamento;58.0;3;1;1.0;Reformado;2300.0;1950.7;21.77;17026.0;39991.0
Ático;95.0;3;1;6.0;En buen estado;2500.0;3886.67;27.61;25956.0;60217.0
Piso;95.0;2;2;4.0;En buen estado;1450.0;2535.85;14.31;20671.0;55125.0
Apartamento;152.0;4;2;2.0;En buen estado;2800.0;2787.63;26.98;19199.0;38360.0
Piso;200.0;4;3;0.0;En buen estado;3150.0;4039.88;19.27;27167.0;86403.0
Apartamento;67.0;3;1;0.0;En buen estado;2300.0;3441.98;25.93;25275.0;56281.0
Chalet;464.0;6;5;0.0;Reformado;3000.0;2453.57;10.8;19257.0;58788.0
Dúplex;40.0;2;1;0.0;En buen estado;1500.0;2545.3;20.32;24659.0;63205.0
Loft;205.0;2;3;1.0;En buen estado;3700.0;2787.63;26.98;19199.0;38360.0
Piso;85.0;2;2;2.0;En buen estado;1150.0;1362.06;13.71;14996.0;43503.0
Ático;254.0;3;4;3.0;Reformado;4200.0;4462.56;19.35;19394.0;57962.0
Chalet;300.0;4;2;0.0;En buen estado;2300.0;2033.33;9.74;15018.0;38927.0
Chalet adosado;200.0;5;4;0.0;En buen estado;3800.0;4462.56;19.35;19394.0;57962.0
Piso;160.0;4;3;1.0;A estrenar;4400.0;4039.88;19.27;27167.0;86403.0
Piso;270.0;3;4;6.0;Reformado;4100.0;3886.67;27.61;25956.0;60217.0
Apartamento;166.0;2;2;1.0;En buen estado;3278.0;2787.63;26.98;19199.0;38360.0
Piso;40.0;1;1;0.0;Reformado;850.0;1677.38;22.02;20103.0;46699.0
Apartamento;103.0;1;1;3.0;En buen estado;2024.0;2787.63;26.98;19199.0;38360.0
Chalet;224.0;3;3;0.0;En buen estado;2000.0;2453.57;10.8;19257.0;58788.0
Apartamento;90.0;1;1;4.0;En buen estado;2450.0;3886.67;27.61;25956.0;60217.0
Piso;203.0;3;2;2.0;En buen estado;3800.0;2506.52;22.52;23925.0;57448.0
Apartamento;54.0;1;1;4.0;En buen estado;1531.0;1677.38;22.02;20103.0;46699.0
Dúplex;180.0;4;2;7.0;Reformado;3700.0;3441.98;25.93;25275.0;56281.0
Piso;130.0;2;3;2.0;A estrenar;1950.0;2787.63;26.98;19199.0;38360.0
Apartamento;40.0;1;1;3.0;En buen estado;1422.0;2787.63;26.98;19199.0;38360.0
Piso;179.0;4;3;5.0;A estrenar;3500.0;3441.98;25.93;25275.0;56281.0
Piso;125.0;2;2;2.0;En buen estado;1750.0;3441.98;25.93;25275.0;56281.0
Piso;225.0;2;3;2.0;Reformado;3500.0;4462.56;19.35;19394.0;57962.0
Piso;50.0;1;1;2.0;En buen estado;1050.0;2890.45;16.94;20500.0;54316.0
Apartamento;87.0;1;1;8.0;Reformado;1900.0;3441.98;25.93;25275.0;56281.0
Casa;112.0;1;1;0.0;En buen estado;1000.0;1141.67;9.46;16802.0;42412.0
Piso;90.0;2;2;1.0;A estrenar;1900.0;2787.63;26.98;19199.0;38360.0
Casa adosada;437.0;4;4;0.0;En buen estado;3300.0;4411.73;10.35;23169.0;76685.0
Piso;98.0;3;1;1.0;En buen estado;1500.0;1677.38;22.02;20103.0;46699.0
Ático;320.0;4;4;0.0;Reformado;4950.0;3396.94;22.37;28233.0;69670.0
Piso;60.0;1;1;2.0;En buen estado;2900.0;3886.67;27.61;25956.0;60217.0
Piso;180.0;3;2;2.0;En buen estado;1750.0;2535.85;14.31;20671.0;55125.0
Piso;50.0;1;1;2.0;En buen estado;790.0;914.06;11.78;11788.0;34016.0
Piso;85.0;2;2;6.0;En buen estado;2500.0;3396.94;22.37;28233.0;69670.0
Casa pareada;160.0;4;3;0.0;Reformado;4100.0;4462.56;19.35;19394.0;57962.0
Ático;145.0;3;3;5.0;En buen estado;3700.0;3396.94;22.37;28233.0;69670.0
Chalet;240.0;4;3;0.0;En buen estado;1600.0;1275.83;10.49;15757.0;46101.0
Apartamento;74.0;1;1;0.5;Reformado;2800.0;3396.94;22.37;28233.0;69670.0
Piso;195.0;4;4;5.0;En buen estado;3800.0;3886.67;27.61;25956.0;60217.0
Apartamento;95.0;1;2;2.0;Reformado;2000.0;3886.67;27.61;25956.0;60217.0
Dúplex;270.0;4;3;3.0;En buen estado;3000.0;2545.3;20.32;24659.0;63205.0
Apartamento;58.0;2;1;1.0;Reformado;1900.0;1950.7;21.77;17026.0;39991.0
Ático;122.0;2;2;7.0;A estrenar;3700.0;3441.98;25.93;25275.0;56281.0
Piso;50.0;1;1;2.0;En buen estado;1050.0;2890.45;16.94;20500.0;54316.0
Piso;150.0;3;3;1.0;Reformado;5000.0;3886.67;27.61;25956.0;60217.0
Piso;120.0;4;2;1.0;En buen estado;1250.0;914.06;11.78;11788.0;34016.0
Apartamento;72.0;1;1;5.0;En buen estado;1900.0;2787.63;26.98;19199.0;38360.0
Piso;150.0;3;3;8.0;Reformado;2890.0;3396.94;22.37;28233.0;69670.0
Dúplex;120.0;2;3;0.0;A estrenar;3600.0;4039.88;19.27;27167.0;86403.0
Piso;200.0;4;3;3.0;En buen estado;4200.0;2787.63;26.98;19199.0;38360.0
Piso;332.0;5;3;2.0;Reformado;5900.0;3886.67;27.61;25956.0;60217.0
Piso;69.0;2;2;2.0;En buen estado;2900.0;3886.67;27.61;25956.0;60217.0
Piso;69.0;2;2;2.0;En buen estado;2900.0;3886.67;27.61;25956.0;60217.0
Piso;72.0;1;1;0.0;Reformado;1300.0;1677.38;22.02;20103.0;46699.0
Piso;99.0;2;2;2.0;A estrenar;3400.0;2787.63;26.98;19199.0;38360.0
Piso;177.0;4;4;4.0;Reformado;4500.0;3396.94;22.37;28233.0;69670.0
Piso;126.0;2;2;4.0;Reformado;3950.0;3441.98;25.93;25275.0;56281.0
Chalet adosado;200.0;4;4;0.0;En buen estado;3300.0;4462.56;19.35;19394.0;57962.0
Piso;162.0;3;3;2.0;En buen estado;3100.0;2787.63;26.98;19199.0;38360.0
Piso;100.0;1;2;2.0;En buen estado;2400.0;3441.98;25.93;25275.0;56281.0
Piso;160.0;2;2;4.0;En buen estado;5100.0;3886.67;27.61;25956.0;60217.0
Piso;45.0;1;2;2.0;En buen estado;950.0;1362.06;13.71;14996.0;43503.0
Piso;77.0;2;2;2.0;En buen estado;3500.0;3886.67;27.61;25956.0;60217.0
Dúplex;100.0;2;1;5.0;En buen estado;1850.0;2787.63;26.98;19199.0;38360.0
Piso;91.0;1;2;5.0;Reformado;3300.0;3441.98;25.93;25275.0;56281.0
Ático;150.0;3;2;6.0;Reformado;3500.0;2787.63;26.98;19199.0;38360.0
Piso;110.0;2;2;3.0;Reformado;3550.0;2787.63;26.98;19199.0;38360.0
Piso;100.0;2;3;1.0;Reformado;2500.0;2787.63;26.98;19199.0;38360.0
Piso;148.0;2;2;3.0;Reformado;3800.0;2787.63;26.98;19199.0;38360.0
Chalet adosado;210.0;4;4;0.0;Reformado;3500.0;4462.56;19.35;19394.0;57962.0
Piso;60.0;1;1;4.0;A estrenar;2500.0;2787.63;26.98;19199.0;38360.0
Piso;225.0;4;3;7.0;Reformado;4100.0;3396.94;22.37;28233.0;69670.0
Piso;70.0;2;2;3.0;Reformado;1650.0;1950.7;21.77;17026.0;39991.0
Casa;157.0;3;2;0.0;En buen estado;1258.0;2561.81;12.41;21254.0;65428.0
Piso;45.0;2;1;2.0;A estrenar;1690.0;3886.67;27.61;25956.0;60217.0
Piso;129.0;1;1;9.0;Reformado;3900.0;3396.94;22.37;28233.0;69670.0
Piso;100.0;2;2;6.0;A estrenar;2100.0;2506.52;22.52;23925.0;57448.0
Ático;194.0;2;3;3.0;Reformado;5800.0;3396.94;22.37;28233.0;69670.0
Estudio;120.0;1;1;3.0;En buen estado;1700.0;2506.52;22.52;23925.0;57448.0
Piso;60.0;1;1;2.0;En buen estado;2900.0;3886.67;27.61;25956.0;60217.0
Apartamento;65.0;2;1;5.0;En buen estado;1500.0;2787.63;26.98;19199.0;38360.0
Piso;94.0;1;1;2.0;Reformado;3100.0;3441.98;25.93;25275.0;56281.0
Piso;129.0;2;2;3.0;Reformado;3950.0;3441.98;25.93;25275.0;56281.0
Chalet adosado;220.0;3;3;0.0;En buen estado;3200.0;4462.56;19.35;19394.0;57962.0
Piso;90.0;2;2;6.0;Reformado;2600.0;3396.94;22.37;28233.0;69670.0
Apartamento;70.0;1;1;15.0;Reformado;1750.0;3396.94;22.37;28233.0;69670.0
Piso;126.0;2;2;2.0;Reformado;3500.0;2787.63;26.98;19199.0;38360.0
Piso;50.0;1;1;1.0;En buen estado;600.0;600.0;12.0;11421.0;32837.0
Piso;318.0;4;3;4.0;En buen estado;2900.0;3396.94;22.37;28233.0;69670.0
Piso;60.0;2;1;0.0;Reformado;1350.0;1916.11;16.14;16890.0;41311.0
Ático;130.0;4;2;2.0;En buen estado;1750.0;1362.06;13.71;14996.0;43503.0
Piso;88.0;2;1;5.0;Reformado;2500.0;2787.63;26.98;19199.0;38360.0
Piso;60.0;1;1;5.0;En buen estado;2600.0;2787.63;26.98;19199.0;38360.0
Piso;75.0;1;1;2.0;Reformado;1800.0;3886.67;27.61;25956.0;60217.0
Ático;248.0;4;2;2.0;A estrenar;2500.0;1275.83;10.49;15757.0;46101.0
Dúplex;92.0;2;2;3.0;En buen estado;2700.0;3886.67;27.61;25956.0;60217.0
Piso;126.0;2;2;3.0;A estrenar;3650.0;2787.63;26.98;19199.0;38360.0
Chalet;250.0;5;2;0.0;En buen estado;2300.0;2453.57;10.8;19257.0;58788.0
Chalet adosado;150.0;3;4;0.0;Reformado;4100.0;4462.56;19.35;19394.0;57962.0
Piso;173.0;3;3;11.0;Reformado;4300.0;1916.11;16.14;16890.0;41311.0
Ático;156.0;2;2;5.0;A estrenar;5550.0;2787.63;26.98;19199.0;38360.0
Piso;156.0;3;2;6.0;Reformado;3350.0;3886.67;27.61;25956.0;60217.0
Piso;137.0;2;2;5.0;En buen estado;5800.0;3886.67;27.61;25956.0;60217.0
Piso;82.0;2;2;4.0;A estrenar;3200.0;2787.63;26.98;19199.0;38360.0
Piso;430.0;4;5;7.0;Reformado;6500.0;3441.98;25.93;25275.0;56281.0
Piso;332.0;5;3;2.0;Reformado;5900.0;3886.67;27.61;25956.0;60217.0
Piso;143.0;4;2;6.0;En buen estado;2000.0;2506.52;22.52;23925.0;57448.0
Piso;80.0;2;1;2.0;Reformado;2600.0;3441.98;25.93;25275.0;56281.0
Ático;180.0;4;4;7.0;Reformado;4995.0;3441.98;25.93;25275.0;56281.0
Chalet pareado;500.0;4;6;0.0;En buen estado;5000.0;4462.56;19.35;19394.0;57962.0
Piso;76.0;1;2;4.0;En buen estado;2200.0;3396.94;22.37;28233.0;69670.0
Apartamento;55.0;1;1;4.0;En buen estado;2010.0;2787.63;26.98;19199.0;38360.0
Piso;140.0;2;3;1.0;En buen estado;3000.0;2506.52;22.52;23925.0;57448.0
Piso;224.0;3;3;2.0;En buen estado;4800.0;3886.67;27.61;25956.0;60217.0
Piso;90.0;2;2;5.0;A estrenar;3200.0;2787.63;26.98;19199.0;38360.0
Ático;220.0;2;2;5.0;Reformado;5500.0;2787.63;26.98;19199.0;38360.0
Piso;105.0;2;2;6.0;Reformado;3200.0;3886.67;27.61;25956.0;60217.0
Piso;89.0;1;1;5.0;En buen estado;1600.0;3886.67;27.61;25956.0;60217.0
Piso;334.0;4;5;1.0;En buen estado;6500.0;3886.67;27.61;25956.0;60217.0
Chalet unifamiliar;550.0;5;5;0.0;En buen estado;4200.0;3490.0;11.43;16370.999999999998;45647.0
Ático;116.0;2;1;6.0;En buen estado;1450.0;2890.45;16.94;20500.0;54316.0
Piso;240.0;2;3;4.0;Reformado;4500.0;3886.67;27.61;25956.0;60217.0
Piso;114.0;3;3;4.0;Reformado;2600.0;2535.85;14.31;20671.0;55125.0
Piso;221.0;4;4;2.0;Reformado;5400.0;3886.67;27.61;25956.0;60217.0
Piso;69.0;1;1;4.0;Reformado;1975.0;3396.94;22.37;28233.0;69670.0
Piso;72.0;3;2;0.0;Reformado;2200.0;3441.98;25.93;25275.0;56281.0
Dúplex;81.0;2;2;0.0;Reformado;2000.0;3886.67;27.61;25956.0;60217.0
Apartamento;60.0;1;1;2.0;En buen estado;750.0;1125.0;11.35;13080.0;36502.0
Piso;111.0;2;2;1.0;En buen estado;3400.0;2787.63;26.98;19199.0;38360.0
Piso;334.0;4;5;1.0;Reformado;6500.0;3886.67;27.61;25956.0;60217.0
Ático;110.0;3;2;8.0;Reformado;3300.0;1950.7;21.77;17026.0;39991.0
Ático;130.0;1;1;8.0;Reformado;3150.0;3886.67;27.61;25956.0;60217.0
Piso;110.0;3;2;0.0;Reformado;2200.0;1677.38;22.02;20103.0;46699.0
Apartamento;76.0;1;1;4.0;En buen estado;2000.0;3396.94;22.37;28233.0;69670.0
Chalet;180.0;4;3;0.0;En buen estado;1600.0;997.0;11.69;10251.0;30961.0
Piso;152.0;3;3;3.0;En buen estado;2800.0;3886.67;27.61;25956.0;60217.0
Piso;62.0;2;2;5.0;Reformado;3100.0;3886.67;27.61;25956.0;60217.0
Piso;95.0;1;2;7.0;En buen estado;2500.0;3396.94;22.37;28233.0;69670.0
Piso;106.0;1;2;8.0;A estrenar;4500.0;3441.98;25.93;25275.0;56281.0
Piso;84.0;1;1;4.0;A estrenar;2000.0;3396.94;22.37;28233.0;69670.0
Piso;129.0;2;2;4.0;En buen estado;3950.0;3441.98;25.93;25275.0;56281.0
Ático;80.0;1;1;4.0;En buen estado;1900.0;2787.63;26.98;19199.0;38360.0
