Distrito;RMH;PMm²Zona;PMZona
Alcalá de Henares;37487.0;12.3;1146.0
Alcobendas;57962.0;16.28;2528.57
Alcorcón;36837.0;14.69;974.29
Algete;51371.0;9.49;5116.67
Alpedrete;44955.0;8.74;1900.0
Aranjuez;35897.0;8.34;708.75
Arganzuela;46699.0;22.02;1677.38
Arroyomolinos;48247.0;12.23;1366.67
Barajas;51400.0;14.13;1366.67
Becerril de la Sierra;39478.0;7.03;1996.67
Beiro;;6.82;600.0
Boadilla del Monte;76685.0;10.35;4411.73
Buitrago del Lozoya;32356.0;4.25;1020.0
Bustarviejo;32273.000000000004;3.9;900.0
Camarma de Esteruelas;38662.0;8.5;1075.0
Canencia;24954.0;5.16;950.0
Carabanchel;32050.0;15.46;1023.96
Carabaña;26249.0;3.33;5000.0
Centro;38360.0;26.98;2787.63
Cercedilla;36353.0;15.0;1200.0
Chamartín;69670.0;22.37;3396.94
Chamberí;56281.0;25.93;3441.98
Ciempozuelos;32837.0;12.0;600.0
Ciudad Lineal;41311.0;16.14;1916.11
Collado Villalba;36502.0;11.35;1125.0
Colmenar Viejo;46101.0;10.49;1275.83
Colmenar de Oreja;28978.0;7.08;850.0
Colmenarejo;43589.0;11.07;2249.5
Coslada;37800.0;11.18;950.0
El Boalo;44138.0;9.87;1850.0
El Escorial;40283.0;11.26;1280.0
El Molar;32406.0;10.99;980.0
El Vellón;29770.0;7.67;1150.0
El Álamo;32321.0;3.67;650.0
Fresno de Torote;35145.0;2.33;1000.0
Fuencarral-El Pardo;55125.0;14.31;2535.85
Fuenlabrada;34016.0;11.78;914.06
Fuente el Saz de Jarama;37319.0;8.98;2250.0
Galapagar;43503.0;13.71;1362.06
Getafe;36962.0;15.73;1003.85
Griñón;44410.0;16.78;1300.0
Guadalix de la Sierra;35488.0;9.67;580.0
Guadarrama;39766.0;15.28;1100.0
Hortaleza;54316.0;16.94;2890.45
La Cabrera;35814.0;10.48;650.0
Las Rozas de Madrid;65428.0;12.41;2561.81
Latina;33790.0;17.03;1156.2
Leganés;34335.0;14.1;926.25
Los Molinos;38684.0;11.69;795.0
Majadahonda;66390.0;14.16;3328.25
Manzanares el Real;38691.0;7.86;1950.0
Meco;42553.0;14.55;800.0
Miraflores de la Sierra;36547.0;7.18;1250.0
Moncloa-Aravaca;63205.0;20.32;2545.3
Moraleja de Enmedio;39923.0;6.32;1200.0
Moralzarzal;47630.0;9.1;2216.67
Moratalaz;38421.0;13.43;1173.33
Móstoles;34529.0;13.12;1043.64
Navacerrada;42412.0;9.46;1141.67
Parla;30961.0;11.69;997.0
Pedrezuela;37099.0;12.5;750.0
Pinto;38031.0;9.53;901.88
Pozuelo de Alarcón;86403.0;19.27;4039.88
Pozuelo del Rey;32336.0;6.72;900.0
Puente de Vallecas;28681.0;16.55;1024.26
Retiro;57448.0;22.52;2506.52
Rivas-Vaciamadrid;48274.0;13.84;1262.0
Salamanca;60217.0;27.61;3886.67
San Agustín del Guadalix;54057.0;11.6;4500.0
San Blas-Canillejas;39321.0;16.42;1278.57
San Fernando de Henares;36256.0;13.4;850.0
San Lorenzo de El Escorial;38927.0;9.74;2033.33
San Martín de Valdeiglesias;30052.0;5.11;1750.0
San Sebastián de los Reyes;45647.0;11.43;3490.0
Sevilla la Nueva;39156.0;6.82;1500.0
Talamanca de Jarama;34277.0;10.32;650.0
Tetuán;39991.0;21.77;1950.7
Torrejón de Ardoz;36317.0;13.31;966.56
Torrelaguna;33904.0;5.5;1020.0
Torrelodones;69688.0;13.05;2324.29
Tres Cantos;59299.0;11.7;1621.88
Usera;30023.0;18.35;1131.43
Valdemorillo;42527.0;8.84;2650.0
Valdemoro;39791.0;11.43;1026.88
Vicálvaro;37141.0;14.05;1285.7
Villa de Vallecas;35278.0;15.28;1119.5
Villa del Prado;30521.0;5.36;600.0
Villalbilla;47715.0;9.03;967.5
Villanueva de la Cañada;63085.0;18.55;1731.0
Villanueva del Pardillo;52958.0;8.84;2075.0
Villaverde;30673.0;16.24;983.32
Villaviciosa de Odón;58788.0;10.8;2453.57
