Referencia;Tipo_vivienda;Dirección;Barrio;Distrito;Población;Superficie construida;Superficie útil;Superficie solar;Habitaciones;Baños;Planta;Antigüedad;Conservación;Gastos de comunidad;Precio;Precio/m²;PMZona;PMm²Zona;RMP;RMH;Descripción;Url_foto;Url_vivienda
 2805-002380;Piso;Calle Francisco de Goya;Prado de Somosaguas ;Pozuelo de Alarcón;Pozuelo de Alarcón;121.0;121.0;0.0;3;2; 1; Entre 5 y 10 años; En buen estado; Incluidos;2100.0;17.36;4039.88;19.27;27167.0;86403.0;"Ubicada en la primera planta, esta residencia de 120,52 m², ofrece 3 habitaciones dobles y 2 baños. Construida en 2019, destaca por su diseño moderno y comodidades.

Disfruta de aire acondicionado, calefacción por suelo radiante, armarios empotrados y ascensor. La cocina equipada parcialmente (falta nevera, lavadora y lavavajillas) y el estado impecable garantizan una experiencia de vida cómoda.

La terraza soleada, el parking, el jardín y la piscina comunitaria te brindan espacios para relajarte. Además, cuenta con sistema de seguridad, puerta blindada y eficiencia energética con nivel B.

Extras incluyen trastero, vidrios dobles. Descubre la combinación perfecta de elegancia y modernidad. ¡Contáctanos para visitar tu nuevo hogar en la Calle Francisco de Goya!


No se aceptan mascotas";https://fotos.imghs.net/apps/2805/40873729625.280500/2805_40873729625_1_20240130105404293.jpg;https://www.pisos.com/alquilar/piso-prado_de_somosaguas-40873729625_280500/
 2805-002377;Piso;Calle Solano;Prado de Somosaguas ;Pozuelo de Alarcón;Pozuelo de Alarcón;225.0;190.0;0.0;4;3; 1; Entre 20 y 30 años; En buen estado;;2500.0;11.11;4039.88;19.27;27167.0;86403.0;"INMOBARALIA presenta una exclusiva oportunidad de alquiler: un fantástico piso de esquina en la prestigiosa calle Solano. Con orientación al Sur y Oeste, este rincón de tranquilidad ofrece un entorno apacible gracias a su ubicación privilegiada frente a un encantador paseo de chopos dentro de la urbanización, asegurando una experiencia sin molestias sonoras.

La propiedad, con una generosa superficie de 205 m², se inicia con un acogedor hall que incluye un práctico armario, dando la bienvenida a un amplio salón-comedor de 50 m² con acceso a una encantadora terraza.

La cocina, diseñada para satisfacer tus necesidades culinarias, cuenta con una gran zona de office, lavadero/tendedero cubierto, despensa. El dormitorio principal, presenta un vestidor y un baño en suite, mientras que tres dormitorios secundarios comparten otro baño. Un aseo de cortesía en el pasillo distribuidor añade conveniencia adicional.

Los detalles de calidad se extienden por toda la propiedad, con carpintería lacada en blanco, calefacción individual de gas natural y aire acondicionado Split en el salón y la habitación principal. La oferta se completa con dos plazas de garaje y un trastero para mayor comodidad.

La urbanización no solo ofrece un hogar excepcional, sino también espectaculares zonas verdes que incluyen pistas de pádel, fútbol, tenis y baloncesto. Dos áreas de juego infantil proporcionan espacios seguros y divertidos para los más pequeños. Además, la seguridad es una prioridad con vigilancia las 24 horas.

Este piso es más que una vivienda; es una oportunidad única para disfrutar de un estilo de vida de lujo y comodidad en una de las ubicaciones más buscadas. ¡Contáctanos para hacer de este lugar tu nuevo hogar!

DISPONIBLE PARA VISITAR A PARTIR DE ENERO";https://fotos.imghs.net/apps/2805/40056907134.280500/2805_40056907134_1_20231219185633931.jpg;https://www.pisos.com/alquilar/piso-prado_de_somosaguas-40056907134_280500/
 2805-002317;Casa;Calle XIX;Las Matas-Los Peñascales ;Las Rozas de Madrid;Las Rozas de Madrid;600.0;600.0;0.0;6;7;0; Entre 5 y 10 años; En buen estado;;4000.0;6.67;2561.81;12.41;21254.0;65428.0;"Inmobaralia te ofrece la oportunidad de alquilar un impresionante chalet en Las Rozas. Con una superficie construida de 600m2, distribuida en cuatro plantas de 150m2 cada una, esta magnífica propiedad es ideal para aquellos que buscan un espacio generoso y lujoso para vivir.

Al ingresar a esta residencia, te sorprenderás con sus amplias y luminosas habitaciones. Con un total de 6 habitaciones, distribuidas estratégicamente en la planta baja y primera planta, esta vivienda ofrece un ambiente tranquilo y privado para toda la familia. Además, cuenta con 7 baños, distribuidos en diferentes plantas para mayor comodidad.

Este chalet destaca por sus múltiples espacios adicionales que se adaptan a diversas necesidades. Desde dos terrazas cerradas y acondicionadas para disfrutar durante todo el año, hasta una bodega para los amantes del vino y un gimnasio para mantenerse en forma, cada rincón de esta propiedad ha sido cuidadosamente diseñado. Además, cuenta con un cuarto de lavado, una cocina con despensa, dos vestidores y una buhardilla diáfana que ofrece un espacio adicional para crear según tus preferencias.

La practicidad también ha sido tenida en cuenta en este chalet. Incluye 4 plazas de garaje en el interior y una rampa para mayor comodidad. Además, en todas las plantas, excepto en el sótano, disfrutarás de aire acondicionado para los días calurosos y un sistema de calefacción a base de gas y bomba de calor para mantener el hogar cálido durante el invierno.

Pero las características distintivas de esta propiedad no se detienen aquí. Este chalet ofrece un ascensor para acceder fácilmente a todas las plantas, aspiración centralizada para facilitar la limpieza, jacuzzi exterior para relajarse, diferentes ambientes en el jardín para disfrutar de la naturaleza y una piscina y pista de pádel comunitarias para el disfrute exclusivo de los cinco chalets en la comunidad. Además, cuenta con sistema de video vigilancia perimetral y red Wifi/RJ45 en toda la casa, brindando seguridad y conectividad de calidad.

No pierdas la oportunidad de vivir en este exclusivo chalet que combina elegancia, comodidad y estilo de vida. ¡Contáctanos ahora para concertar una visita y descubrir todas las maravillas que esta propiedad tiene para ofrecer!";https://fotos.imghs.net/apps/2805/29189878080.280500/2805_29189878080_10_20221111105546187.jpg;https://www.pisos.com/alquilar/casa-las_matas_los_penascales-29189878080_280500/
 2805-002378;Piso;Calle de Sinesio Delgado;Almenara ;Tetuán; Madrid Capital;89.0;89.0;0.0;2;2; Bajo; Entre 20 y 30 años; Reformado; Incluidos;1600.0;17.98;1950.7;21.77;17026.0;39991.0;"Descubre tu nuevo hogar en este piso recién reformado, ubicado en la Calle Sinesio Delgado, Madrid, a solo una calle de las 5 Torres y rodeado de diversas opciones de ocio. Con una superficie total de 89,25 m² y dos habitaciones dobles, este piso ofrece comodidad y modernidad. El piso se encuentra en la primera planta, orientado al sur, lo que garantiza una luminosidad constante.

Recién reformado con excelentes calidades y listo para estrenar, cocina tipo americano, dos habitaciones con baño en suite. Los suelos de gres, vidrios dobles, aseguran la comodidad absoluta y la temperatura perfecta todo el año.

Entre sus comodidades se incluyen armarios empotrados, ascensor, calefacción a gas natural y carpintería exterior de aluminio. La cocina totalmente equipada se integra con el comedor, creando un espacio ideal para la vida social y familiar.

No pierdas la oportunidad de vivir en este lugar único en una de las zonas más buscadas de Madrid. Contáctanos para programar una visita y descubrir personalmente las comodidades que este piso tiene para ofrecer. ¡Bienvenido a tu nuevo hogar!";https://fotos.imghs.net/apps/2805/40857548919.280500/2805_40857548919_9_20240113113421363.jpg;https://www.pisos.com/alquilar/piso-tetuan_almenara28029-40857548919_280500/
 IF5695-240207-16;Ático;Calle de la Magdalena;Embajadores-Lavapiés ;Centro; Madrid Capital;90.0;;0.0;3;1; 4;;;;2000.0;22.22;2787.63;26.98;19199.0;38360.0;"¡Casas y mas, alquila piso exterior de 3 dormitorios, amueblado! .

Alquiler para larga y corta estancia.

Para corta estancia mínimo 6 meses y máximo 11 meses!

Piso exterior, cuarta planta con ascensor, reformado y amueblado.

El piso se entrega como nuevo, muebles y cocina todo nuevo.

Salón-comedor de paso, amueblado, con ventana velux.

Cocina amueblada y con electrodomésticos.

3 dormitorios con camas dobles.

1 baño con bañera y ventana velux.

La zona cuenta con todos los servicios alrededor, supermercados, restaurantes, centro de salud, gimnasios, tiendas y zonas de ocio.

Excelente ubicación, todos los transportes públicos, metros antón martín y tirso de molina y varias líneas de autobuses.

Se alquila completamente equipado.

No se admiten mascotas.

Se requiere acreditar solvencia económica y profesional.

Contacto begoña por teléfono o whatapp 66_30_66_570.

Recuerda que este anuncio es no vinculante y puede contener errores.";https://fotos.imghs.net/apps/1018/072/1018_102545072_1_2024021217021612202.jpg;https://www.pisos.com/alquilar/atico-centro_embajadores_lavapies28012-41737792733_101800/
 IF77092-VL11;Piso;Calle de Ponzano, cerca de Calle de Ríos Rosas;Ríos Rosas ;Chamberí; Madrid Capital;108.0;;0.0;2;2; 1;;;;3800.0;35.19;3441.98;25.93;25275.0;56281.0;"Elegancia y Comodidad en Nuevos Ministerios, Ríos Rosas, Chamberí

En Velzia, te invitamos a descubrir la perfecta combinación de lujo y funcionalidad en este magnífico piso de dos dormitorios. Con acabados de primera calidad y decoraciones exclusivas, nuestros pisos están diseñados para superar tus expectativas y elevar tu estilo de vida.

Cada rincón de esta propiedad refleja un diseño meticuloso, con acabados de alta gama y una estética que deslumbra. Con 108 metros cuadrados, este apartamento ofrece un espacio cómodo y luminoso, perfecto para disfrutar de la vida cotidiana y recibir a tus invitados. La cocina americana, equipada con electrodomésticos de alta gama, se integra perfectamente con el espacioso salón comedor, creando un ambiente ideal para la convivencia y la preparación de deliciosas comidas. Cada dormitorio cuenta con su propio baño, lo que añade comodidad y privacidad para los residentes y sus invitados. La calefacción individual por gas natural te permite controlar la temperatura a tu gusto, garantizando un ambiente cálido y acogedor.

Situado en la primera planta, disfrutarás de privacidad y comodidad, con la ventaja de un ascensor para facilitar tu acceso.

En Velzia, no solo ofrecemos propiedades excepcionales, sino que también respaldamos nuestra calidad con una sólida garantía de postventa. Tu satisfacción y tranquilidad son nuestra prioridad.
Ubicación Ideal: Este piso está estratégicamente ubicado cerca de opciones de transporte, supermercados y una amplia variedad de lugares de entretenimiento. Tu vida cotidiana será cómoda y llena de oportunidades.
Este piso en ubicado en Nuevos Ministerios, Ríos Rosas, Chamberí, es una oportunidad única para quienes buscan un hogar de lujo en una ubicación privilegiada. Contáctanos hoy mismo para programar una visita y experimentar la diferencia que Velzia puede ofrecer.

Elegance and Comfort in Nuevos Ministerios, Ríos Rosas, Chamberí

At Velzia, we invite you to discover the perfect blend of luxury and functionality in this magnificent two-bedroom apartment. With top-quality finishes and exclusive decorations, our apartments are designed to exceed your expectations and elevate your lifestyle.

Every corner of this property reflects meticulous design, with high-end finishes and a dazzling aesthetic. With 108 square meters, this apartment offers a comfortable and bright space, perfect for enjoying everyday life and hosting your guests. The open kitchen, equipped with high-end appliances, seamlessly integrates with the spacious living-dining room, creating an ideal environment for socializing and preparing delicious meals. Each bedroom has its own bathroom, adding convenience and privacy for residents and their guests. Individual natural gas heating allows you to control the temperature to your liking, ensuring a warm and welcoming atmosphere.

Located on the first floor, you will enjoy privacy and convenience, with the advantage of an elevator for easy access.

At Velzia, we not only offer exceptional properties but also back our quality with a strong post-sale warranty. Your satisfaction and peace of mind are our priority. Ideal Location: This apartment is strategically located near transportation options, supermarkets, and a wide variety of entertainment venues. Your everyday life will be comfortable and full of opportunities.

This apartment in Nuevos Ministerios, Ríos Rosas, Chamberí, is a unique opportunity for those seeking a luxury home in a privileged location. Contact us today to schedule a visit and experience the difference that Velzia can offer.";https://fotos.imghs.net/apps/1018/451/1018_102435451_1_2024020210022192517.jpg;https://www.pisos.com/alquilar/piso-rios_rosas28003-41686755536_101800/
 500635-111230;Piso;Paseo de la Florida;Casa de Campo ;Moncloa-Aravaca; Madrid Capital;85.0;80.0;0.0;2;2; 8; Entre 10 y 20 años; En buen estado;;1790.0;21.06;2545.3;20.32;24659.0;63205.0;"Luxcasa alquila excelente vivienda de 2 dormitorios y 2 baños en paseo de la florida, junto centro comercial y estacion principe pio.

Es una vivienda de moderna construcción, en un edificio de lujo, con portal representativo, varios ascensores, servicio de conserjería y jardines interiores.

Se entrega totalmente amueblada y equipada con todo lujo de detalles para hacer su estancia lo más confortable posible.

Situada en el mismo paseo de la florida, junto a la estación de metro e intercambiador de renfe principe pio, con su magnífico centro comercial y salas de teatro y cines de referencia en madrid.

La vivienda se distribuye de un pequeño hall de entrada, una cocina totalmente amueblada y equipada, exterior y con un tendedero independiente.

A continuación accedemos a un salón comedor con un inmenso mirador, orientada hacia los jardines de la comunidad, muy luminoso y soleado pero libre de ruidos.

Y para terminar llegamos a la zona de dormitorios donde encontramos, un dormitorio con 2 camas individuales, escritorio y armario empotrado. Dicho dormitorio tiene un cuarto de baño amplio con ducha.

El dormitorio principal muy amplio, con cama de 1,50 cms, armario empotrado y cuarto de baño incorporado completo tipo suite.

Ambas estancias son muy alegres y luminosas pues el piso está situado en una 8ª planta del edificio y orientado hacia zona ajardinada.

Aire acondicionado centralizado en toda la vivienda y wifi.

En cuanto a su ubicación, no puede ser mejor!
Junto a la amplia zona verde, deportiva y de ocio de madrid rio y casa de campo. Rodeada de todo tipo de comercios, restauración y ocio. A 10 minutos andando a la plaza de españa y gran vía de madrid. Muy próximo al palacio real, catedral de la almudena y otros emblemáticos edificios de la capital. Muy próxima igualmente a universidad complutense y colegios mayores.

Posee magníficas comunicaciones pues desde la estación de metro de príncipe pío tiene acceso a todas las líneas, metro ligero, cercanías renfe, incluída la llegada al aeropuerto adolfo suarez, por lo que es muy cómodo no precisar de coche.

Precio: 1.790€
Disponibilidad inmediata

Se admiten estancias inferiores al año pero minimas de 4 meses.

¡No dude en visitarlo!";https://fotos.imghs.net/apps/500635/41670550108.500635/500635_41670550108_18_20240202093906588.jpg;https://www.pisos.com/alquilar/piso-casa_de_campo28008-41670550108_500635/
 IF6381-D Ramon;Piso;Calle de Don Ramón de la Cruz, cerca de Calle del General Pardiñas;Goya ;Salamanca; Madrid Capital;93.0;;0.0;3;2; 6;; En buen estado;;2500.0;26.88;3886.67;27.61;25956.0;60217.0;"Magnifico 6º piso recién actualizado,
Junto Principe de Vergara y Plaza Marqués de Salamanca. En Don Ramón de la Cruz.
Zona muy comercial, llena de supermercados, hostelería, metro a 1 min.

Distribuido en hall con armarios grande para abrigos, salón con cocina americana equipada, 3 habitaciones dobles (posibilidad de quedar las camas), dos baños, uno nuevo en suite con grandes armarios todas las habitaciones.
Aire Acondicionado canalizado por techo, calefacción por Gas Natural ind.
Recién pintado y suelo acuchillado.

La casa es interior a dos patios, uno de manzana enorme mejor que exterior, nada de ruido. Sol todo el día.

Condiciones: 1 mes de fianza, 1 mes de garantía y nóminas.";https://fotos.imghs.net/apps/1018/622/1018_35559622_1_2024011713015202895.jpg;https://www.pisos.com/alquilar/piso-goya28001-40906157707_101800/
 500635-111226;Piso;Calle de Mozart;Argüelles ;Moncloa-Aravaca; Madrid Capital;87.0;80.0;0.0;2;2; 8; Entre 10 y 20 años; En buen estado;;1790.0;20.57;2545.3;20.32;24659.0;63205.0;"Luxcasa pone a su disposicion una excepcional vivienda para aquellos que no precisan un contrato de larga estancia.

Ideal duracion entre 5 y 11 meses.

Es una vivienda de moderna construcción, en un edificio de lujo, con portal representativo, varios ascensores y servicio de conserjería, totalmente amueblada y equipada con todo lujo de detalles para hacer su estancia lo más confortable posible.

Se encuentra situada en la c/ mozart, junto a la estación de metro e intercambiador de renfe principe pio, con su magnífico centro comercial y sala de teatro de referencia en madrid.

La vivienda dispone de un pequeño hall de entrada, una cocina independiente totalmente amueblada y equipada, exterior y con un tendedero independiente.

A continuación accedemos a un salón comedor con un inmenso mirador, orientada hacia los jardines de la comunidad por lo que carece de ruidos, con mesa de comedor, sofá cama, mueble para tv, etc.

Y para terminar llegamos a la zona de dormitorios donde encontramos, un dormitorio con 2 camas (una oculta), escritorio y armario empotrado. Dicho dormitorio tiene un cuarto de baño amplio con ducha.

El dormitorio muy amplio, con cama matrimonial, mesillas, armario empotrado y su cuarto de baño completo tipo suite.

Ambas estancias son muy alegres y luminosas pues el piso está situado en una 8ª planta y orientado hacia zona ajardinada.

Aire acondicionado centralizado en toda la vivienda.

En cuanto a su ubicación, no puede ser mejor! Junto a la amplia zona verde, deportiva y de ocio de madrid rio y casa de campo. Rodeada de todo tipo de comercios, restauración y ocio. A 10 minutos andando a la plaza de españa y gran vía de madrid. Muy próximo al palacio real, catedral de la almudena y otros emblemáticos edificios de la capital. Muy próxima igualmente a universidad complutense y colegios mayores.

Posee magníficas comunicaciones pues desde la estación de metro de príncipe pío tiene acceso a todas las líneas, metro ligero, cercanías renfe, incluída la llegada al aeropuerto, por lo que es muy cómodo no precisar de coche.

Precio: 1790€
Disponibilidad inmediata

¡No dude en visitarlo!";https://fotos.imghs.net/apps/500635/40922645228.500635/500635_40922645228_7_20240111110744000.jpg;https://www.pisos.com/alquilar/piso-moncloa_aravaca_arguelles28008-40922645228_500635/
 SA5055-103411388/11157;Piso;Avenida de Juan Antonio Samaranch, 124;Valdebebas-Valdefuentes ;Hortaleza; Madrid Capital;150.0;90.0;0.0;2;2; 1;;;;2300.0;15.33;2890.45;16.94;20500.0;54316.0;"Espectacular piso en Valdebebas en alquiler por meses, amoblado y equipado - Todo super confortable y listo para entrar a vivir.

Cocina completa, electrodomésticos primera categoría, vajilla, tv 75"" en salón y 55"" en habitación, cortinas y stores, sofás premium, mesa para 6 comensales de madera, lavadero con lava-seca ropa. Habitación principal con vestidor y baño en suite. Gran balcón con mesa de diseño para 4 personas.

Ubicación privilegiada, a 100m de una entrada al parque de Valdebebas. Incluye 1 plaza de parking y trastero. Comunidad con conserje, piscina, paddle, juegos para niños, gimnasio.

Servicios +200 eur (internet, electricidad, agua, calefaccion).";https://fotos.imghs.net/apps/1005/157/1005_2045226911157_1_2024011910014915550.jpg;https://www.pisos.com/alquilar/piso-valdebebas_valdefuentes28055-40062860931_100500/
