Tipo_vivienda;Superficie construida;Habitaciones;Baños;Planta;Conservación;Precio;PMZona;PMm²Zona;RMP;RMH
Piso;125.0;2;2;3.0;En buen estado;540000.0;1028586.4;4151.27;27167.0;86403.0
Piso;95.0;3;2;1.0;Reformado;330000.0;404569.14;4016.05;16890.0;41311.0
Piso;89.0;2;2;1.0;En buen estado;378000.0;734591.73;3773.82;21254.0;65428.0
Piso;95.0;3;2;3.0;En buen estado;339000.0;296686.5;3182.53;13719.0;33790.0
Piso;122.0;3;2;1.0;A estrenar;297200.0;260408.74;2079.61;13327.0;39791.0
Piso;75.0;3;1;3.0;A reformar;400000.0;820074.21;6639.78;19199.0;38360.0
Piso;82.0;1;1;-1.0;A estrenar;363000.0;1474913.24;9115.3;25956.0;60217.0
Chalet;251.0;4;3;0.0;En buen estado;374900.0;340100.0;2049.92;15266.0;47018.0
Piso;122.0;3;2;1.0;A estrenar;297200.0;260408.74;2079.61;13327.0;39791.0
Piso;85.0;3;1;1.0;En buen estado;155000.0;204509.83;2052.7;11788.0;34016.0
Piso;83.0;3;1;3.0;A reformar;525000.0;1474913.24;9115.3;25956.0;60217.0
Piso;80.0;2;2;2.0;A estrenar;393700.0;404569.14;4016.05;16890.0;41311.0
Piso;82.0;3;1;2.0;En buen estado;150000.0;204509.83;2052.7;11788.0;34016.0
Casa adosada;143.0;3;3;0.0;En buen estado;319900.0;232225.0;2021.15;14285.0;40309.0
Piso;48.0;1;1;5.0;En buen estado;495000.0;1474913.24;9115.3;25956.0;60217.0
Piso;60.0;2;1;0.0;En buen estado;140000.0;370148.66;2169.33;14996.0;43503.0
Piso;160.0;3;2;2.0;En buen estado;179500.0;200100.0;1365.25;12685.0;34277.0
Piso;128.0;3;3;1.0;Reformado;947000.0;1471095.24;6128.53;28233.0;69670.0
Casa pareada;172.0;3;2;0.0;En buen estado;443250.0;347533.53;2035.92;16160.0;47715.0
Apartamento;47.0;1;1;1.0;Reformado;139500.0;361240.0;2315.8;15887.0;44955.0
Piso;152.0;3;3;3.0;En buen estado;860000.0;1028586.4;4151.27;27167.0;86403.0
Piso;264.0;5;4;10.0;A reformar;1295000.0;675858.33;5137.28;17026.0;39991.0
Casa adosada;161.0;3;2;0.0;En buen estado;440000.0;406000.77;2688.94;16184.000000000002;48274.0
Casa unifamiliar;285.0;3;3;0.0;En buen estado;299000.0;299000.0;1049.12;12100.0;32282.0
Casa adosada;210.0;4;3;0.0;En buen estado;495000.0;611624.62;2519.64;19257.0;58788.0
Piso;120.0;2;3;1.0;A estrenar;1040000.0;1474913.24;9115.3;25956.0;60217.0
Piso;78.0;3;1;1.0;En buen estado;450000.0;1474913.24;9115.3;25956.0;60217.0
Piso;59.0;1;1;4.0;En buen estado;240000.0;381560.93;3252.04;15115.0;39321.0
Ático;183.0;4;3;0.0;En buen estado;1190000.0;1336621.11;4954.85;24659.0;63205.0
Piso;310.0;4;3;1.0;En buen estado;1350000.0;675858.33;5137.28;17026.0;39991.0
Chalet;181.0;4;3;0.0;A estrenar;299000.0;347533.53;2035.92;16160.0;47715.0
Ático;215.0;2;2;3.0;En buen estado;675000.0;734591.73;3773.82;21254.0;65428.0
Piso;155.0;3;2;1.0;Reformado;359000.0;449344.0;2383.43;15018.0;38927.0
Piso;110.0;3;2;2.0;En buen estado;203000.0;186396.42;1864.74;10251.0;30961.0
Piso;224.0;6;3;3.0;A reformar;949900.0;1474913.24;9115.3;25956.0;60217.0
Piso;110.0;3;2;4.0;En buen estado;320000.0;292565.38;2668.12;13600.0;37800.0
Piso;139.0;3;2;1.0;En buen estado;565000.0;1091446.77;3066.01;23169.0;76685.0
Piso;111.0;4;2;1.0;En buen estado;290000.0;221354.76;2379.6;13993.0;36837.0
Piso;136.0;3;2;1.0;En buen estado;355000.0;221354.76;2379.6;13993.0;36837.0
Piso;72.0;2;1;5.0;En buen estado;395000.0;468570.0;5082.27;20103.0;46699.0
Chalet;181.0;4;3;0.0;A estrenar;299000.0;347533.53;2035.92;16160.0;47715.0
Casa adosada;230.0;4;3;0.0;A estrenar;390000.0;258967.62;1906.18;12592.0;38093.0
Ático;72.0;1;1;2.0;En buen estado;199000.0;449344.0;2383.43;15018.0;38927.0
Casa adosada;230.0;4;3;0.0;A estrenar;390000.0;258967.62;1906.18;12592.0;38093.0
Piso;95.0;3;1;3.0;En buen estado;205000.0;204509.83;2052.7;11788.0;34016.0
Chalet;266.0;4;5;0.0;En buen estado;530000.0;611624.62;2519.64;19257.0;58788.0
Piso;138.0;3;2;2.0;En buen estado;640000.0;1474913.24;9115.3;25956.0;60217.0
Piso;201.0;4;2;3.0;En buen estado;725000.0;1474913.24;9115.3;25956.0;60217.0
Ático;130.0;3;2;2.0;En buen estado;429000.0;296686.5;3182.53;13719.0;33790.0
Piso;56.0;1;1;1.0;En buen estado;199900.0;440344.29;2681.07;13809.0;37487.0
Piso;137.0;2;2;1.0;Reformado;256050.0;406000.77;2688.94;16184.000000000002;48274.0
Piso;80.0;2;2;1.0;En buen estado;214990.0;277223.0;2996.8;10797.0;30023.0
Piso;79.0;2;2;0.0;A estrenar;378000.0;734591.73;3773.82;21254.0;65428.0
Piso;155.0;5;2;5.0;En buen estado;900000.0;1474913.24;9115.3;25956.0;60217.0
Casa pareada;244.0;4;3;0.0;En buen estado;420000.0;325513.57;1941.5;13523.0;39156.0
Piso;91.0;3;2;0.5;A estrenar;355000.0;433906.82;2550.17;17250.0;54057.0
Casa adosada;245.0;4;2;0.0;En buen estado;240000.0;299000.0;1261.93;15234.0;37592.0
Chalet;246.0;3;3;0.0;A estrenar;477300.0;290766.43;2029.47;12566.0;34529.0
Piso;64.0;3;1;2.0;En buen estado;169000.0;296686.5;3182.53;13719.0;33790.0
Piso;98.0;3;3;2.0;En buen estado;1129000.0;1533912.0;8661.73;23925.0;57448.0
Piso;79.0;2;2;0.0;A estrenar;378000.0;734591.73;3773.82;21254.0;65428.0
Piso;138.0;3;2;1.0;A estrenar;369000.0;507866.67;2564.12;15757.0;46101.0
Piso;42.0;1;1;0.0;A estrenar;170000.0;525900.0;2577.72;17359.0;54713.0
Piso;52.0;2;2;1.0;A estrenar;611000.0;1235417.65;4893.34;20671.0;55125.0
