Referencia;Tipo_vivienda;Dirección;Barrio;Distrito;Población;Superficie construida;Superficie útil;Superficie solar;Habitaciones;Baños;Planta;Antigüedad;Conservación;Gastos de comunidad;Precio;Precio/m²;PMZona;PMm²Zona;RMP;RMH;Descripción;<img>Url_foto;Url_vivienda ;Coordenadas;Latitude;Longitude
 2805-002380;Piso;Calle Francisco de Goya;Prado de Somosaguas ;Pozuelo de Alarcón;Pozuelo de Alarcón;121;121;0;3;2;1; Entre 5 y 10 años; En buen estado; Incluidos;2100;17.36;4039.88;19.27;27167;86403;"Ubicada en la primera planta, esta residencia de 120,52 m², ofrece 3 habitaciones dobles y 2 baños. Construida en 2019, destaca por su diseño moderno y comodidades.

Disfruta de aire acondicionado, calefacción por suelo radiante, armarios empotrados y ascensor. La cocina equipada parcialmente (falta nevera, lavadora y lavavajillas) y el estado impecable garantizan una experiencia de vida cómoda.

La terraza soleada, el parking, el jardín y la piscina comunitaria te brindan espacios para relajarte. Además, cuenta con sistema de seguridad, puerta blindada y eficiencia energética con nivel B.

Extras incluyen trastero, vidrios dobles. Descubre la combinación perfecta de elegancia y modernidad. ¡Contáctanos para visitar tu nuevo hogar en la Calle Francisco de Goya!


No se aceptan mascotas";https://fotos.imghs.net/apps/2805/40873729625.280500/2805_40873729625_1_20240130105404293.jpg;https://www.pisos.com/alquilar/piso-prado_de_somosaguas-40873729625_280500/;(40.3418175, -3.3688722);40.3418175;-3.3688722
 2805-002377;Piso;Calle Solano;Prado de Somosaguas ;Pozuelo de Alarcón;Pozuelo de Alarcón;225;190;0;4;3;1; Entre 20 y 30 años; En buen estado;;2500;11.11;4039.88;19.27;27167;86403;"INMOBARALIA presenta una exclusiva oportunidad de alquiler: un fantástico piso de esquina en la prestigiosa calle Solano. Con orientación al Sur y Oeste, este rincón de tranquilidad ofrece un entorno apacible gracias a su ubicación privilegiada frente a un encantador paseo de chopos dentro de la urbanización, asegurando una experiencia sin molestias sonoras.

La propiedad, con una generosa superficie de 205 m², se inicia con un acogedor hall que incluye un práctico armario, dando la bienvenida a un amplio salón-comedor de 50 m² con acceso a una encantadora terraza.

La cocina, diseñada para satisfacer tus necesidades culinarias, cuenta con una gran zona de office, lavadero/tendedero cubierto, despensa. El dormitorio principal, presenta un vestidor y un baño en suite, mientras que tres dormitorios secundarios comparten otro baño. Un aseo de cortesía en el pasillo distribuidor añade conveniencia adicional.

Los detalles de calidad se extienden por toda la propiedad, con carpintería lacada en blanco, calefacción individual de gas natural y aire acondicionado Split en el salón y la habitación principal. La oferta se completa con dos plazas de garaje y un trastero para mayor comodidad.

La urbanización no solo ofrece un hogar excepcional, sino también espectaculares zonas verdes que incluyen pistas de pádel, fútbol, tenis y baloncesto. Dos áreas de juego infantil proporcionan espacios seguros y divertidos para los más pequeños. Además, la seguridad es una prioridad con vigilancia las 24 horas.

Este piso es más que una vivienda; es una oportunidad única para disfrutar de un estilo de vida de lujo y comodidad en una de las ubicaciones más buscadas. ¡Contáctanos para hacer de este lugar tu nuevo hogar!

DISPONIBLE PARA VISITAR A PARTIR DE ENERO";https://fotos.imghs.net/apps/2805/40056907134.280500/2805_40056907134_1_20231219185633931.jpg;https://www.pisos.com/alquilar/piso-prado_de_somosaguas-40056907134_280500/;(40.4749727, -3.5981753);40.4749727;-3.5981753
 2805-002317;Casa;Calle XIX;Las Matas-Los Peñascales ;Las Rozas de Madrid;Las Rozas de Madrid;600;600;0;6;7;0; Entre 5 y 10 años; En buen estado;;4000;6.67;2561.81;12.41;21254;65428;"Inmobaralia te ofrece la oportunidad de alquilar un impresionante chalet en Las Rozas. Con una superficie construida de 600m2, distribuida en cuatro plantas de 150m2 cada una, esta magnífica propiedad es ideal para aquellos que buscan un espacio generoso y lujoso para vivir.

Al ingresar a esta residencia, te sorprenderás con sus amplias y luminosas habitaciones. Con un total de 6 habitaciones, distribuidas estratégicamente en la planta baja y primera planta, esta vivienda ofrece un ambiente tranquilo y privado para toda la familia. Además, cuenta con 7 baños, distribuidos en diferentes plantas para mayor comodidad.

Este chalet destaca por sus múltiples espacios adicionales que se adaptan a diversas necesidades. Desde dos terrazas cerradas y acondicionadas para disfrutar durante todo el año, hasta una bodega para los amantes del vino y un gimnasio para mantenerse en forma, cada rincón de esta propiedad ha sido cuidadosamente diseñado. Además, cuenta con un cuarto de lavado, una cocina con despensa, dos vestidores y una buhardilla diáfana que ofrece un espacio adicional para crear según tus preferencias.

La practicidad también ha sido tenida en cuenta en este chalet. Incluye 4 plazas de garaje en el interior y una rampa para mayor comodidad. Además, en todas las plantas, excepto en el sótano, disfrutarás de aire acondicionado para los días calurosos y un sistema de calefacción a base de gas y bomba de calor para mantener el hogar cálido durante el invierno.

Pero las características distintivas de esta propiedad no se detienen aquí. Este chalet ofrece un ascensor para acceder fácilmente a todas las plantas, aspiración centralizada para facilitar la limpieza, jacuzzi exterior para relajarse, diferentes ambientes en el jardín para disfrutar de la naturaleza y una piscina y pista de pádel comunitarias para el disfrute exclusivo de los cinco chalets en la comunidad. Además, cuenta con sistema de video vigilancia perimetral y red Wifi/RJ45 en toda la casa, brindando seguridad y conectividad de calidad.

No pierdas la oportunidad de vivir en este exclusivo chalet que combina elegancia, comodidad y estilo de vida. ¡Contáctanos ahora para concertar una visita y descubrir todas las maravillas que esta propiedad tiene para ofrecer!";https://fotos.imghs.net/apps/2805/29189878080.280500/2805_29189878080_10_20221111105546187.jpg;https://www.pisos.com/alquilar/casa-las_matas_los_penascales-29189878080_280500/;(40.5662078, -3.897079);40.5662078;-3.897079
 2805-002378;Piso;Calle de Sinesio Delgado;Almenara ;Tetuán; Madrid Capital;89;89;0;2;2; Bajo; Entre 20 y 30 años; Reformado; Incluidos;1600;17.98;1950.7;21.77;17026;39991;"Descubre tu nuevo hogar en este piso recién reformado, ubicado en la Calle Sinesio Delgado, Madrid, a solo una calle de las 5 Torres y rodeado de diversas opciones de ocio. Con una superficie total de 89,25 m² y dos habitaciones dobles, este piso ofrece comodidad y modernidad. El piso se encuentra en la primera planta, orientado al sur, lo que garantiza una luminosidad constante.

Recién reformado con excelentes calidades y listo para estrenar, cocina tipo americano, dos habitaciones con baño en suite. Los suelos de gres, vidrios dobles, aseguran la comodidad absoluta y la temperatura perfecta todo el año.

Entre sus comodidades se incluyen armarios empotrados, ascensor, calefacción a gas natural y carpintería exterior de aluminio. La cocina totalmente equipada se integra con el comedor, creando un espacio ideal para la vida social y familiar.

No pierdas la oportunidad de vivir en este lugar único en una de las zonas más buscadas de Madrid. Contáctanos para programar una visita y descubrir personalmente las comodidades que este piso tiene para ofrecer. ¡Bienvenido a tu nuevo hogar!";https://fotos.imghs.net/apps/2805/40857548919.280500/2805_40857548919_9_20240113113421363.jpg;https://www.pisos.com/alquilar/piso-tetuan_almenara28029-40857548919_280500/;(40.4696464, -3.712745);40.4696464;-3.712745
 IF5695-240207-16;Ático;Calle de la Magdalena;Embajadores-Lavapiés ;Centro; Madrid Capital;90;;0;3;1;4;;;;2000;22.22;2787.63;26.98;19199;38360;"¡Casas y mas, alquila piso exterior de 3 dormitorios, amueblado! .

Alquiler para larga y corta estancia.

Para corta estancia mínimo 6 meses y máximo 11 meses!

Piso exterior, cuarta planta con ascensor, reformado y amueblado.

El piso se entrega como nuevo, muebles y cocina todo nuevo.

Salón-comedor de paso, amueblado, con ventana velux.

Cocina amueblada y con electrodomésticos.

3 dormitorios con camas dobles.

1 baño con bañera y ventana velux.

La zona cuenta con todos los servicios alrededor, supermercados, restaurantes, centro de salud, gimnasios, tiendas y zonas de ocio.

Excelente ubicación, todos los transportes públicos, metros antón martín y tirso de molina y varias líneas de autobuses.

Se alquila completamente equipado.

No se admiten mascotas.

Se requiere acreditar solvencia económica y profesional.

Contacto begoña por teléfono o whatapp 66_30_66_570.

Recuerda que este anuncio es no vinculante y puede contener errores.";https://fotos.imghs.net/apps/1018/072/1018_102545072_1_2024021217021612202.jpg;https://www.pisos.com/alquilar/atico-centro_embajadores_lavapies28012-41737792733_101800/;(40.4123688, -3.7002731);40.4123688;-3.7002731
 500635-111230;Piso;Paseo de la Florida;Casa de Campo ;Moncloa-Aravaca; Madrid Capital;85;80;0;2;2;8; Entre 10 y 20 años; En buen estado;;1790;21.06;2545.3;20.32;24659;63205;"Luxcasa alquila excelente vivienda de 2 dormitorios y 2 baños en paseo de la florida, junto centro comercial y estacion principe pio.

Es una vivienda de moderna construcción, en un edificio de lujo, con portal representativo, varios ascensores, servicio de conserjería y jardines interiores.

Se entrega totalmente amueblada y equipada con todo lujo de detalles para hacer su estancia lo más confortable posible.

Situada en el mismo paseo de la florida, junto a la estación de metro e intercambiador de renfe principe pio, con su magnífico centro comercial y salas de teatro y cines de referencia en madrid.

La vivienda se distribuye de un pequeño hall de entrada, una cocina totalmente amueblada y equipada, exterior y con un tendedero independiente.

A continuación accedemos a un salón comedor con un inmenso mirador, orientada hacia los jardines de la comunidad, muy luminoso y soleado pero libre de ruidos.

Y para terminar llegamos a la zona de dormitorios donde encontramos, un dormitorio con 2 camas individuales, escritorio y armario empotrado. Dicho dormitorio tiene un cuarto de baño amplio con ducha.

El dormitorio principal muy amplio, con cama de 1,50 cms, armario empotrado y cuarto de baño incorporado completo tipo suite.

Ambas estancias son muy alegres y luminosas pues el piso está situado en una 8ª planta del edificio y orientado hacia zona ajardinada.

Aire acondicionado centralizado en toda la vivienda y wifi.

En cuanto a su ubicación, no puede ser mejor!
Junto a la amplia zona verde, deportiva y de ocio de madrid rio y casa de campo. Rodeada de todo tipo de comercios, restauración y ocio. A 10 minutos andando a la plaza de españa y gran vía de madrid. Muy próximo al palacio real, catedral de la almudena y otros emblemáticos edificios de la capital. Muy próxima igualmente a universidad complutense y colegios mayores.

Posee magníficas comunicaciones pues desde la estación de metro de príncipe pío tiene acceso a todas las líneas, metro ligero, cercanías renfe, incluída la llegada al aeropuerto adolfo suarez, por lo que es muy cómodo no precisar de coche.

Precio: 1.790€
Disponibilidad inmediata

Se admiten estancias inferiores al año pero minimas de 4 meses.

¡No dude en visitarlo!";https://fotos.imghs.net/apps/500635/41670550108.500635/500635_41670550108_18_20240202093906588.jpg;https://www.pisos.com/alquilar/piso-casa_de_campo28008-41670550108_500635/;(40.4222917, -3.7223107);40.4222917;-3.7223107
 500635-111226;Piso;Calle de Mozart;Argüelles ;Moncloa-Aravaca; Madrid Capital;87;80;0;2;2;8; Entre 10 y 20 años; En buen estado;;1790;20.57;2545.3;20.32;24659;63205;"Luxcasa pone a su disposicion una excepcional vivienda para aquellos que no precisan un contrato de larga estancia.

Ideal duracion entre 5 y 11 meses.

Es una vivienda de moderna construcción, en un edificio de lujo, con portal representativo, varios ascensores y servicio de conserjería, totalmente amueblada y equipada con todo lujo de detalles para hacer su estancia lo más confortable posible.

Se encuentra situada en la c/ mozart, junto a la estación de metro e intercambiador de renfe principe pio, con su magnífico centro comercial y sala de teatro de referencia en madrid.

La vivienda dispone de un pequeño hall de entrada, una cocina independiente totalmente amueblada y equipada, exterior y con un tendedero independiente.

A continuación accedemos a un salón comedor con un inmenso mirador, orientada hacia los jardines de la comunidad por lo que carece de ruidos, con mesa de comedor, sofá cama, mueble para tv, etc.

Y para terminar llegamos a la zona de dormitorios donde encontramos, un dormitorio con 2 camas (una oculta), escritorio y armario empotrado. Dicho dormitorio tiene un cuarto de baño amplio con ducha.

El dormitorio muy amplio, con cama matrimonial, mesillas, armario empotrado y su cuarto de baño completo tipo suite.

Ambas estancias son muy alegres y luminosas pues el piso está situado en una 8ª planta y orientado hacia zona ajardinada.

Aire acondicionado centralizado en toda la vivienda.

En cuanto a su ubicación, no puede ser mejor! Junto a la amplia zona verde, deportiva y de ocio de madrid rio y casa de campo. Rodeada de todo tipo de comercios, restauración y ocio. A 10 minutos andando a la plaza de españa y gran vía de madrid. Muy próximo al palacio real, catedral de la almudena y otros emblemáticos edificios de la capital. Muy próxima igualmente a universidad complutense y colegios mayores.

Posee magníficas comunicaciones pues desde la estación de metro de príncipe pío tiene acceso a todas las líneas, metro ligero, cercanías renfe, incluída la llegada al aeropuerto, por lo que es muy cómodo no precisar de coche.

Precio: 1790€
Disponibilidad inmediata

¡No dude en visitarlo!";https://fotos.imghs.net/apps/500635/40922645228.500635/500635_40922645228_7_20240111110744000.jpg;https://www.pisos.com/alquilar/piso-moncloa_aravaca_arguelles28008-40922645228_500635/;(40.4234845, -3.7219399);40.4234845;-3.7219399
 SA5055-103411388/11157;Piso;Avenida de Juan Antonio Samaranch, 124;Valdebebas-Valdefuentes ;Hortaleza; Madrid Capital;150;90;0;2;2;1;;;;2300;15.33;2890.45;16.94;20500;54316;"Espectacular piso en Valdebebas en alquiler por meses, amoblado y equipado - Todo super confortable y listo para entrar a vivir.

Cocina completa, electrodomésticos primera categoría, vajilla, tv 75"" en salón y 55"" en habitación, cortinas y stores, sofás premium, mesa para 6 comensales de madera, lavadero con lava-seca ropa. Habitación principal con vestidor y baño en suite. Gran balcón con mesa de diseño para 4 personas.

Ubicación privilegiada, a 100m de una entrada al parque de Valdebebas. Incluye 1 plaza de parking y trastero. Comunidad con conserje, piscina, paddle, juegos para niños, gimnasio.

Servicios +200 eur (internet, electricidad, agua, calefaccion).";https://fotos.imghs.net/apps/1005/157/1005_2045226911157_1_2024011910014915550.jpg;https://www.pisos.com/alquilar/piso-valdebebas_valdefuentes28055-40062860931_100500/;(40.4938698, -3.6235973);40.4938698;-3.6235973
 4990706-3djman;Piso;Calle Nueva;Centro ;Villaviciosa de Odón;Villaviciosa de Odón;100;90;0;3;2;1; Entre 30 y 50 años; En buen estado;;1400;14;2453.57;10.8;19257;58788;"INMODON ALQUILA PISO PARA ESTUDIENTES:
¡Increíble piso en alquiler en Villaviciosa de Odón! Este espacioso y luminoso piso de 100 m2 está destinado especialmente para estudiantes durante la temporada universitaria. Cuenta con 3 dormitorios equipados con camas de 90 cm, mesas de estudio y armarios. Además, el salón y dos de los dormitorios disponen de aire acondicionado para mayor comodidad.

El inmueble cuenta con 2 baños y una cocina con salida a un patio, ideal para disfrutar del aire libre. Su ubicación es inmejorable, en pleno centro de Villaviciosa de Odón, con parada de autobús cercana y una amplia oferta de comercios. Además, podrás disfrutar de zonas verdes cercanas y del patrimonio cultural de la zona, como el Castillo, la fuente de Los Tres Canos y el Palacio de Manuel de Godoy.

La Universidad Europea de Madrid se encuentra a pocos minutos, y la conexión con Madrid es rápida y cómoda, a menos de 20 km y con buena conexión a través de la M-40 o M-50. Si buscas tranquilidad y un ambiente agradable, este piso es ideal para ti. No pierdas la oportunidad de vivir en este increíble lugar.

Características adicionales:
- Superficie construida: 100 m²
- Superficie útil: 90 m²
- Terraza y balcón
- Segunda mano/Buen estado
- Armarios empotrados
- Planta 1, exterior
- Sin ascensor
- Orientación Norte, Sur
- Cocina con electrodomésticos y casa amueblada
- Aire acondicionado
- Jardín

MEJOR VER.";https://fotos.imghs.net/apps/990706/40041137087.990706/990706_40041137087_1_20231214180058186.jpg;https://www.pisos.com/alquilar/piso-villaviciosa_de_odon_centro-40041137087_990706/;(40.5824086, -3.9310909);40.5824086;-3.9310909
 IF76920-MARNEGRO AOC;Casa;Calle del Mar Negro;El Guijo-Colonia España ;Galapagar;Galapagar;197;;1095;3;3;0;;;;2000;10.15;1362.06;13.71;14996;43503;"¡Alquiler con opción a compra!

Agencia inmobiliaria de galapagar zona galapagar - alto de la navata (el pocillo). Oficina hogares galapagar: alquila con opcion a compra: espectacular chalet independiente en la mejor zona de galapagar, cercano a zonas verdes, colegios, parada de autobús, etc…

La vivienda se distribuye de la siguiente forma:

Encontraremos en una sola planta: una cocina amplia con mobiliario de silestone, el salón-comedor con acceso a la terraza, tres dormitorios con baños completos. Dormitorio principal con baño en suite.

Ventanas de doble cristal con persianas domotizadas. Chimenea de pellets.

Dispone de un magnífico jardín que rodea toda la casa, zona de aparcamiento cubierta y piscina.
Pero eso no es todo. ¡Prepárate para quedar asombrado por el jardín moderno de este chalet independiente! Equipado con césped artificial en toda la parcela con riego automático por goteo y múltiples zonas listas para su transformación, este espacio exterior te brinda la posibilidad de crear tu propio paraíso al aire libre. Imagina reuniones, barbacoas, áreas de juego, ¡Las posibilidades son infinitas!

¡No busques más! Esta es tu oportunidad de tener una vivienda que combina el estilo moderno con la comodidad funcional en cada rincón.

No dudes en ponerte en contacto con nosotros para poder ver la vivienda y ver condiciones de financiación 100%.

Solo alquiler con opción compra obligatoria
(664.900€ que se ve reducido según lo que vamos aportando)";https://fotos.imghs.net/apps/1018/276/1018_34753276_1_2023110313115701017.es/images/ads/754d22e8-f8e0-458c-9247-9822ba2309cd;https://www.pisos.com/alquilar/casa-el_guijo_colonia_espana28400-39225621744_101800/;(40.4738662, -3.6437139);40.4738662;-3.6437139
