Referencia;Tipo_vivienda;Dirección;Barrio;Distrito;Población;Superficie construida;Superficie útil;Superficie solar;Habitaciones;Baños;Planta;Antigüedad;Conservación;Gastos de comunidad;Precio;Precio/m²;PMZona;PMm²Zona;RMP;RMH;Descripción;<img>Url_foto;Url_vivienda;Coordenadas;Latitude;Longitude
 IF7146-P1739;Piso;Calle de Goya, 17;Golf-El Carralero ;Majadahonda;Majadahonda;139;;0;3;2;2;;;;595000;4280.57554;806473.17;3809.79;21248;66390;"¡Increíble oportunidad de adquirir un piso en la exclusiva zona Golf de Majadahonda!
Este inmueble cuenta con amplias zonas comunes, ideales para disfrutar en familia. Podrás relajarte en la piscina, practicar pádel o pasear por los hermosos jardines. El piso consta de 3 habitaciones, cada una con su propio encanto y espacio suficiente para tus necesidades (17 m2, 12 m2, 12 m2). Además, la habitación principal cuenta con un baño en suite. El salón, de 23 m2, es perfecto para recibir a tus invitados y la terraza de 9 m2 te permitirá disfrutar del aire libre. La cocina, de 14 m2, es espaciosa y funcional y dispone de tendedero. El trastero y la plaza de garaje son un plus para almacenar tus pertenencias y tener tu vehículo siempre protegido. ¡No pierdas esta oportunidad única de vivir en un lugar con todo lo que necesitas!";https://fotos.imghs.net/apps/1018/424/1018_102495424_1_2024013120011114165.jpg;https://www.pisos.com/comprar/piso-golf_el_carralero28222-40865264048_101800/;(40.4257174, -3.6871447);40.4257174;-3.6871447
 4501235-120920037;Casa unifamiliar;Lozoyuela;Lozoyuela ;Lozoyuela-Navas-Sieteiglesias;Lozoyuela-Navas-Sieteiglesias;315;125;976;4;1;0; Entre 30 y 50 años; En buen estado;;263000;834.9206349;246857.14;1397.97;11600;29083;"BREM GLOBAL INMOBILIARIA presenta esta LUMINOSA CASA FAMILIAR EN UNA SOLA ALTURA en el municipio de Lozoyuela, a unos escasos 40 min de Madrid.
La casa tiene 125 m2 sobre una construcción total de 315 m2 y se encuentra ubicada en una parcela de 976 m2 con unas inmejorables vistas a la Sierra de Madrid. El año de construcción de la casa es 1978.
Al subir unas escaleras, accedemos a un porche techado que da acceso al interior de la vivienda. Al acceder a la vivienda , encontramos un amplio y luminoso salón ya que cuenta con grandes ventanales y una chimenea con cassete. La casa se encuentra distribuida con un largo pasillo en el que vemos una cocina equipada con pasaplatos y con salida directa a la parcela, 4 habitaciones dobles con radiadores incorporados , dos de ellas con armarios empotrados y un baño con bañera.
En la parte exterior, la casa cuenta con cenador exterior cuyas vistas son impresionantes tanto a la parcela como a la Sierra , un garaje con capacidad para 3 coches, una leñera y un aljibe con 10.000L y motor difusor para el riego de la parcela.
La parte de debajo de la casa se encuentra diáfana y al tener el mismo tamaño que la casa puede servir de gran almacenaje.
En el apartado de CALIDADES :
-Calefacción de Gasoil
-Ventajas con rejas
-Suelo Gres
-Radiadores en todas las habitaciones
- Garaje para 3 coches
El suministro del agua y alcantarillado van vinculados a un sistema de alcantarillado y una serie de sondeos registrados en poder de la comunidad, con lo que tenemos todos los suministros para poder realizar una vida sin complicaciones.

Además la casa lleva añadido la propiedad y derecho de uso del 10 % de una parcela aledaña a la urbanización.
Si deseas disfrutar de la tranquilidad que nos brinda la Sierra de Madrid con estas inmejorables vistas, ¡NO DUDES EN PONERTE EN CONTACTO CON NOSOTROS!";https://fotos.imghs.net/apps/501235/35835300241.501235/501235_35835300241_1_20230705123531483.jpg;https://www.pisos.com/comprar/casa_unifamiliar-lozoyuela-35835300241_501235/;(40.4359447, -3.6627775);40.4359447;-3.6627775
 4510261-436-MORCUERA;Casa adosada;Calle de la Morcuera;Zona Club Deportivo Galapagar-Los Almendros ;Galapagar;Galapagar;190;189;343;5;2;0; Entre 30 y 50 años; Reformado;;466000;2452.631579;370148.66;2169.33;14996;43503;Bonito chalet pareado en centro urbano de Galapagar. En planta principal, hall de entrada forrado en piedra, salón-comedor con salida gran porche acristalado y jardín trasero, dormitorio, baño completo, amplia cocina muy luminosa y garaje con abundante zona de almacenaje. En planta superior, tres dormitorios, uno de ellos balcón, y baño completo. Jardín delantero solado, con bonitas jardineras de piedra. En jardín trasero, porche acristalado con cenador y piscina. Muy cerca de parada bus Madrid y Renfe. En centro urbano, al lado de zona comercial y de ocio.;https://fotos.imghs.net/apps/510261/39168152707.510261/510261_39168152707_1_20231110130046408.jpg;https://www.pisos.com/comprar/casa_adosada-zona_club_deportivo_galapagar_los_almendros-39168152707_510261/;(40.295461, -4.0160944);40.295461;-4.0160944
 IF7144-43;Chalet;Calle de Rocinante;Núcleo Urbano ;Villanueva de la Cañada;Villanueva de la Cañada;263;;564;4;4;0;;;;460000;1749.04943;780426.67;2398.23;18512;63085;"CHEMALI VENDE CHALET PAREADO muy luminoso con parcela de 564m² en excelente ubicación.
Situado en el casco urbano junto al Liceo Moliere, paradas bus, locales restauración, a 1,5km de UAX, etc.
Se divide en tres alturas.
Planta entrada: vestíbulo acristalado, cocina amueblada con salida a bonito jardín consolidado con árboles y plantas con riego automático. Piscina con caseta exterior depuradora
Construcción independiente a vivienda utilizada como taller y para guardar herramientas jardín. Garaje con puertas exterior automáticas.
Planta primera: tres dormitorios con techos altos abuhardillados y dos baños completos exteriores. El dormitorio principal tiene el baño incorporado con ducha y zona de vestidor. Dos dormitorios con grandes armarios empotrados más un baño con bañera. Los dos cuartos de baño son exteriores.
Semisótano: habitación para uso vestidor, trastero, etc. , gran salón diáfano y otra habitación con ventana uso dormitorio, despacho.";https://fotos.imghs.net/apps/1018/735/1018_34934735_1_2023112305111418131.jpg;https://www.pisos.com/comprar/chalet-villanueva_de_la_canada_nucleo_urbano-37502459404_101800/;(40.5012394, -3.6926707);40.5012394;-3.6926707
 4400-23598;Piso;Calle del Doctor Fourquet;Embajadores-Lavapiés ;Centro; Madrid Capital;75;65;0;3;1;3; Más de 50 años; A reformar;50;400000;5333.333333;820074.21;6639.78;19199;38360;"Piso en venta en la zona de Lavapiés - Museo Reina Sofía.

Tiene una superficie útil de 65 m², es muy luminoso y cuenta con una terraza de 5 m².
Dispone de una cocina y un espacioso salón-comedor ambos con salida a la terraza, tres dormitorios, (uno de ellos doble con vestidor).
Además, cuenta con varios armarios empotrados y un baño completo.
La vivienda necesita reforma, está ubicada en una zona tranquila y acogedora, con mucha luz natural y ventilación cruzada en todas las estancias.

Los suelos son de parquet, la calefacción es central con medidor de consumo y agua caliente individual.
El edificio dispone de una vivienda-portería propiedad de todos los vecinos.
Cuenta con ascensor y se encuentra en una ubicación privilegiada cerca de la Estación de Atocha, con buena comunicación y diversidad en restauración, comercios, museos, colegios, etc.
Opción de adquirir una plaza de garaje en la calle Argumosa y la finca dispone de una vivienda-portería propiedad de todos los vecinos.

Gasto comunidad: 50 euros
Ibi: 530 euros

¡No pierda la oportunidad de visitarlo, llámenos!

NO COBRAMOS COMISIONES A NUESTROS CLIENTES COMPRADORES";https://fotos.imghs.net/apps/4400/39251798547.440000/4400_39251798547_45_20231129134544796.jpg;https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-39251798547_440000/;(40.407397, -3.697861);40.407397;-3.697861
 IF7146-C864;Casa adosada;Calle Cerezo del Paular;Estación-Zona Norte ;Pozuelo de Alarcón;Pozuelo de Alarcón;272;;0;5;3;0;;;;789000;2900.735294;1028586.4;4151.27;27167;86403;"Bienvenidos a esta hermosa casa adosada de esquina! Ubicada en una urbanización tranquila de solo 4 vecinos, esta propiedad cuenta con un amplio jardín y zona de piscina para disfrutar del aire libre y el sol. Además, está muy bien comunicada, con colegios, centro comercial, estación de tren y autobuses en las proximidades.

En su interior, encontrarás una distribución cómoda con mucho espacio y amplios armarios empotrados en toda la vivienda. La casa cuenta con dos grandes salas, una de juegos y otra de estar, además de un salón principal. El ático ha sido recién reformado y cuenta con un gran ventanal, baño y vestidor, así como una terraza-solarium con preciosas vistas.

La propiedad también cuenta con 2 plazas de garaje y un semi-sótano con ventanas, donde se encuentra una amplia sala que puede dividirse en 2 espacios.

En total, la casa cuenta con 5 dormitorios y 4 baños, y tiene una superficie construida de 272 m². Además, tiene trastero y está en buen estado de segunda mano. ¡No pierdas la oportunidad de visitar esta impresionante casa adosada!";https://fotos.imghs.net/apps/1018/983/1018_34006983_42_2023121405124853219.jpg;https://www.pisos.com/comprar/casa_adosada-estacion_zona_norte28224-34239688795_101800/;(40.4548981, -3.805144);40.4548981;-3.805144
 IF76733-4240;Piso;Calle Alpes;Casco Antiguo ;Alcorcón;Alcorcón;76;;0;3;1;8;;;;190000;2500;221354.76;2379.6;13993;36837;"Descubre este encantador piso de esquina en la Calle Alpes de Alcorcón, especialmente luminoso (sol de mañana) y en el que podrás disfrutar de excelentes vistas panorámicas de la ciudad, ya que se encuentra situado en la planta 8 de un edificio accesible y con varios ascensores. Su ubicación estratégica lo sitúa cerca de todo tipo de comercios, colegios y transporte público, facilitando tu día a día.

Distribuido en amplia entrada; cómoda y funcional cocina, que ofrece muchas posibilidades si se integra el tendedero en la misma; salón comedor con acceso a TERRAZA que invita a disfrutar de unas vistas inigualables; 3 amplios dormitorios y 1 baño con ventana.

El piso cuenta con detalles de calidad, como suelos de parquet muy cuidados y sistema de ACS y calefacción mediante radiadores y caldera de gas natural.

Además, esta vivienda ofrece al comprador la posibilidad de adquirir VARIAS PLAZAS DE GARAJE adicionales, NO INCLUIDAS EN EL PRECIO. Infórmate al respecto si te interesa comprar o bien alquilar una, dos o hasta tres plazas, todas ellas situadas muy cerca del inmueble.

¡No pierdas la oportunidad de visitar esta vivienda porque ya tenemos lista de espera!. ¡Tu nuevo capítulo comienza aquí!.

El comprador tendrá un coste adicional de tres mil euros IVA incluido (3.000€) por el servicio de gestión, asesoramiento y formalización del proceso de compra. Este importe no está incluido en el precio publicado en venta.

La reserva del inmueble sólo se producirá después de que una propuesta de compra haya sido expresamente aceptada por el vendedor. El precio publicado NO incluye los impuestos y gastos legalmente establecidos y derivados de la transmisión e inscripción, en su caso.

Cuando veas este anuncio, el inmueble llevará ya unos días publicado en nuestra página web y con el máximo detalle. Si quieres ser el primero en enterarte de nuestras novedades o ampliar información, entra en nuestra web o únete en nuestro canal de telegram: ventas nuevo milenio.";https://fotos.imghs.net/apps/1018/934/1018_102390934_1_2024011521011266657.jpg;https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28922-40866247961_101800/;(40.4281408, -3.6050251);40.4281408;-3.6050251
 4995410-98253749;Piso;Calle de Antonio Acuña, 5;Goya ;Salamanca; Madrid Capital;82;60;0;1;1; Sótano; Más de 50 años; A estrenar; Más de 100 €;363000;4426.829268;1474913.24;9115.3;25956;60217;"HABITANIA les ofrece,

¡ Especial Inversores!

¡Vive la Experiencia Única en tu Nuevo Hogar!

Descubre tu próximo capítulo de vida en este encantador rincón en pleno corazón del distrito de Salamanca a sólo 2 manzanas del parque del Retiro, Madrid.

Esta vivienda de ensueño fusiona lo clásico con lo moderno en una finca señorial que te traslada a la época de 1912. Desde el elegante portal hasta el impecable servicio de conserjería, cada detalle te envuelve en un ambiente de distinción.

Está compuesta de varias zonas independientes como;

- Salón exterior con 2 ventanas a la calle,
- Comedor con cocina incorporada,
- Dormitorio doble con ventana a patio,
- Baño independiente con ducha,

N. B. : Por su distribución se puede fácilmente añadir un segundo dormitorio sin renunciar a sus zonas comunes y hasta un tercero si se quiere conseguir una mayor rentabilidad.

Ubicación Privilegiada:
Situado estratégicamente entre las prestigiosas zonas de Recoletos y Goya, está a un paso del Teatro Nuevo Alcalá en una calle tranquila de una sola vía. Disfruta de la comodidad de todos sus comercios y transportes públicos con el metro de Príncipe de Vergara a una manzana el de Goya a solo dos manzanas. Y para los amantes de la naturaleza, el Parque del Retiro está a tan solo un breve paseo.

Espacio Único, Vida Excepcional:
Este sótano exterior, renovado con elegancia, te brinda la libertad para crear tu refugio perfecto. Techos altos de 3m y muros de 50 cm, proporcionan un clima ideal durante todo el año, ¡ahorrando en tus facturas de energía! Los cerramientos y ventanas son nuevos y de calidad

Distribución Inteligente, Posibilidades Infinitas:
Desde el acogedor salón con ventanas que dan a la calle hasta el dormitorio doble con vistas al patio. ¡Imagina tu segundo y tercer dormitorio tomando forma sin renunciar a tu espacio vital!

Inversión con Estilo:
Más que un hogar, es una inversión en tu calidad de vida. ¿Estás listo para crear tu propia historia en este lugar único?

NOTA:
Las Fotos que se ven al final del reportaje con los muebles corresponden al sótano de enfrente, que es igual y opuesto a éste que se vende y sirve para dar una idea de sus posibilidades.

Aproveche esta oportunidad. ¡Contáctanos ahora y descubre la puerta a tu nuevo hogar!";https://fotos.imghs.net/apps/995410/39224606344.995410/995410_39224606344_1_20231113214014894.jpg;https://www.pisos.com/comprar/piso-goya28009-39224606344_995410/;(40.422876, -3.6787341);40.422876;-3.6787341
 TC159-557374;Piso;Calle de Málaga;Avanzada-La Cueva ;Fuenlabrada;Fuenlabrada;85;;0;3;1;1;; En buen estado;;155000;1823.529412;204509.83;2052.7;11788;34016;"Agencia inmobiliaria de FUENLABRADA - zona Fuenlabrada Central - San Andrés - Tomás y Valiente - Vende piso céntrico y bien comunicado en Calle Málaga, junto a Calle Leganés de 86m² Construidos y 75m² útiles aprox. Orientación Sur.
Se trata de una primera planta en finca SIN ASCENSOR, construida en el año 1972. Compuesto de 3 dormitorios, salón de paso con acceso a la terraza, baño completo con plato de ducha y cocina amueblada y equipada.
La vivienda esta totalmente reformada y amueblada y dispone de suelos de tarima, puertas de roble, ventanas de PVC con cristal climalit, toldos en la terraza y dormitorios y terraza abierta.
Ubicado en una zona tranquila junto a Calle Leganés, encontrarás todos los servicios básicos para hacer tus días mucho más fáciles, tales como: Centro de Salud, Farmacias, colegios, Institutos, guarderías, Bares, Cafeterías, Gimnasios etc.
Muy bien comunicado a escasos 5 minutos del metro Sur (Parque De Los Estados) y Renfe ( Fuenlabrada Central). Tiene fácil acceso a la M-50 y dispone de varias líneas de autobuses que pasan por la zona.
No dudes en llamarnos y concertar tu cita para visitar el inmueble en la que además recibirás el estudio gratuito de nuestro departamento financiero Kíron.";https://fotos.imghs.net/apps/1002/374/1002_557374_1_2023092212090039062.jpeg;https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-37562421511_100200/;(40.4388794, -3.6945007);40.4388794;-3.6945007
 4995907-Villalbilla Adosado;Casa unifamiliar;Calle de Somiedo, 23;;Villalbilla;Villalbilla;180;152;150;4;3;0;; A estrenar;;299000;1661.111111;347533.53;2035.92;16160;47715;"Nueva fase chalet de “las brisas del mirador” de villalbilla
Obra nueva c/ somiedo, 23
Precio: desde 299.000.-€+iva

Nueva promoción de chalets en villalbilla de 180 m² construidos con 120 m² planta baja y primera + 60 m² de sótano.

4 dormitorios y 3 cuartos de baño

Con energía solar fotovoltaica individual por vivienda

¡¡Ahora con aerotermia!!

Chalets unifamiliares de nueva construcción, ubicados en calle somiedo en villalbilla (madrid), distribuidos en tres plantas en parcela de 150 m².

La planta baja dispone de gran salón independiente con salida a parcela, cocina, dormitorio y baño completo con plato de ducha.

La planta primera consta de dormitorio principal tipo suite con baño completo y zona vestidor, dos dormitorios individuales y baño completo en distribuidor.

En la planta sótano nos encontramos dos amplios trasteros con ventanas, y cuarto de instalaciones.

La parcela delantera está solada de hormigón impreso, preparada como aparcamiento para un vehículo, y la parcela trasera tiene una parte solada en hormigón impreso y una parte en tierra para jardín.

Aislamientos térmicos espectaculares en toda la vivienda, y excelentes mejoras acústicas en toda la vivienda. Máxima climatización de frío y calor con aerotermia y suelo radiante para un bajo consumo energético y económico. Unido todo esto a unas inmejorables calidades de acabados en toda la vivienda. ¡Con calidad de avance urbano!

Zona rodeada de naturaleza y parques infantiles, cerca de colegios, a tan solo unos minutos andando del centro de villalbilla donde se ubican todos los servicios como centro de salud, bancos, supermercados, polideportivo municipal, … y a unos 10 minutos en coche de alcalá de henares. Acceso a m-300, r3, a2. A unos 20 minutos de madrid";https://fotos.imghs.net/apps/995907/20842409004.995907/995907_20842409004_1_20230126124631786.jpg;https://www.pisos.com/comprar/casa_unifamiliar-villalbilla_centro_urbano-20842409004_995907/;(40.3894666, -3.6482376);40.3894666;-3.6482376
