Municipio,Provincia,Comunidad Autónoma,Habitantes (2022),Carril Bici,Rating,Distancia a Madrid (km),Tiempo de viaje a Madrid (Min),Precio medio vivienda (EUR/m2),Indice de calidad del aire (ICA),Tipo_vivienda,Precio,Superficie,Habitaciones,Baños,Comprado
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Chalet,1500.0,139.0,5,3,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,1290.0,116.0,4,2,0
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,925.0,70.0,2,1,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,1400.0,107.0,2,2,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,875.0,57.0,3,1,0
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,830.0,74.0,3,1,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,850.0,110.0,4,2,0
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Casa,2200.0,269.0,5,3,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,950.0,70.0,2,2,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,850.0,90.0,3,1,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,950.0,62.0,2,1,0
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,800.0,60.0,2,1,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,950.0,80.0,2,1,0
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,850.0,78.0,3,1,0
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,1000.0,73.0,2,2,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,795.0,98.0,3,2,0
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,1050.0,87.0,2,2,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,795.0,90.0,3,1,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,800.0,70.0,1,1,1
Alcalá de Henares,Madrid,Madrid,196888.0,1,6.9,40,39,3500,127,Piso,950.0,110.0,1,1,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Chalet,4600.0,550.0,4,5,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,1500.0,116.0,2,2,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,999.0,85.0,2,1,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,860.0,60.0,1,1,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,900.0,60.0,2,1,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Chalet,4950.0,550.0,5,5,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,3000.0,200.0,4,4,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Casa pareada,4200.0,397.0,5,5,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,1250.0,85.0,3,2,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Casa,4200.0,372.0,5,4,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,800.0,50.0,1,1,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Casa,4500.0,531.0,4,3,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,1200.0,110.0,3,2,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,1200.0,122.0,1,1,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Chalet,4750.0,495.0,7,6,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,1100.0,100.0,2,1,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,800.0,50.0,1,1,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Chalet,8750.0,1.064,6,8,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Chalet,6000.0,450.0,5,4,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Chalet,6000.0,615.0,5,4,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Chalet,6100.0,575.0,5,6,1
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Chalet,8000.0,784.0,5,6,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,1450.0,102.0,2,2,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Chalet,4400.0,200.0,4,4,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,1200.0,140.0,3,2,0
San Sebastián de los Reyes,Madrid,Madrid,91083.0,1,7.7,30,31,3500,137,Piso,900.0,62.0,2,1,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,1700.0,128.0,3,2,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,1000.0,50.0,1,1,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,3400.0,160.0,4,3,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Casa,4250.0,461.0,3,4,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,1100.0,40.0,1,1,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,1400.0,55.0,1,1,0
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,4150.0,196.0,3,3,0
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,4100.0,300.0,4,3,0
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,4850.0,176.0,3,3,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,2200.0,70.0,2,2,0
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,1900.0,89.0,2,1,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,1300.0,62.0,1,1,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,4500.0,241.0,4,3,0
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,975.0,50.0,1,1,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,935.0,45.0,1,1,0
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,764.0,43.0,1,1,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,4500.0,150.0,4,2,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,2100.0,175.0,3,2,1
Madrid Capital,Madrid,Madrid,3280782.0,1,8.9,0,0,3935,149,Piso,2400.0,104.0,3,2,1
